cycle,mode,tick_long_tripsmode
90,trip_taxi,nil
91,trip_tgv,nil
91,trip_ter,nil
91,trip_taxi,nil
92,trip_tgv,nil
92,trip_ter,nil
92,trip_taxi,nil
93,trip_tgv,nil
93,trip_ter,nil
93,trip_taxi,nil
94,trip_tgv,nil
94,trip_ter,nil
94,trip_taxi,nil
95,trip_tgv,nil
95,trip_ter,nil
95,trip_taxi,nil
96,trip_tgv,nil
96,trip_ter,nil
96,trip_taxi,nil
97,trip_tgv,nil
97,trip_ter,nil
97,trip_taxi,nil
98,trip_tgv,nil
98,trip_ter,nil
98,trip_taxi,nil
99,trip_tgv,nil
99,trip_ter,nil
99,trip_taxi,nil
100,trip_tgv,nil
100,trip_ter,nil
100,trip_taxi,nil
101,trip_tgv,nil
101,trip_ter,nil
101,trip_taxi,nil
102,trip_tgv,nil
102,trip_ter,nil
102,trip_taxi,nil
103,trip_tgv,nil
103,trip_ter,nil
103,trip_taxi,nil
104,trip_tgv,nil
104,trip_ter,nil
104,trip_taxi,nil
105,trip_tgv,nil
105,trip_ter,nil
105,trip_taxi,nil
106,trip_tgv,nil
106,trip_ter,nil
106,trip_taxi,nil
107,trip_tgv,nil
107,trip_ter,nil
107,trip_taxi,nil
108,trip_tgv,nil
108,trip_ter,nil
108,trip_taxi,nil
109,trip_tgv,nil
109,trip_ter,nil
109,trip_taxi,nil
110,trip_tgv,nil
110,trip_ter,nil
110,trip_taxi,nil
111,trip_tgv,nil
111,trip_ter,nil
111,trip_taxi,nil
112,trip_tgv,nil
112,trip_ter,nil
112,trip_taxi,nil
113,trip_tgv,nil
113,trip_ter,nil
113,trip_taxi,nil
114,trip_tgv,nil
114,trip_ter,nil
114,trip_taxi,nil
115,trip_tgv,nil
115,trip_ter,nil
115,trip_taxi,nil
116,trip_tgv,nil
116,trip_ter,nil
116,trip_taxi,nil
117,trip_tgv,nil
117,trip_ter,nil
117,trip_taxi,nil
118,trip_tgv,nil
118,trip_ter,nil
118,trip_taxi,nil
119,trip_tgv,nil
119,trip_ter,nil
119,trip_taxi,nil
120,trip_tgv,nil
120,trip_ter,nil
120,trip_taxi,nil
121,trip_tgv,nil
121,trip_ter,nil
121,trip_taxi,nil
122,trip_tgv,nil
122,trip_ter,nil
122,trip_taxi,nil
123,trip_tgv,nil
123,trip_ter,nil
123,trip_taxi,nil
124,trip_tgv,nil
124,trip_ter,nil
124,trip_taxi,nil
125,trip_tgv,nil
125,trip_ter,nil
125,trip_taxi,nil
126,trip_tgv,nil
126,trip_ter,nil
126,trip_taxi,nil
127,trip_tgv,nil
127,trip_ter,nil
127,trip_taxi,nil
128,trip_tgv,nil
128,trip_ter,nil
128,trip_taxi,nil
129,trip_tgv,nil
129,trip_ter,nil
129,trip_taxi,nil
130,trip_tgv,nil
130,trip_ter,nil
130,trip_taxi,nil
131,trip_tgv,nil
131,trip_ter,nil
131,trip_taxi,nil
132,trip_tgv,nil
132,trip_ter,nil
132,trip_taxi,nil
133,trip_tgv,nil
133,trip_ter,nil
133,trip_taxi,nil
134,trip_tgv,nil
134,trip_ter,nil
134,trip_taxi,nil
135,trip_tgv,nil
135,trip_ter,nil
135,trip_taxi,nil
136,trip_tgv,nil
136,trip_ter,nil
136,trip_taxi,nil
