cycle,e,tick_emissions_Te
227,gCO2e emissions,nil
228,gCO2e emissions,nil
229,gCO2e emissions,nil
230,gCO2e emissions,nil
231,gCO2e emissions,nil
232,gCO2e emissions,nil
233,gCO2e emissions,nil
234,gCO2e emissions,nil
235,gCO2e emissions,nil
236,gCO2e emissions,nil
237,gCO2e emissions,nil
238,gCO2e emissions,nil
239,gCO2e emissions,nil
240,gCO2e emissions,nil
241,gCO2e emissions,nil
242,gCO2e emissions,nil
243,gCO2e emissions,nil
244,gCO2e emissions,nil
245,gCO2e emissions,nil
246,gCO2e emissions,nil
247,gCO2e emissions,nil
248,gCO2e emissions,nil
249,gCO2e emissions,nil
250,gCO2e emissions,nil
251,gCO2e emissions,nil
252,gCO2e emissions,nil
253,gCO2e emissions,nil
254,gCO2e emissions,nil
255,gCO2e emissions,nil
256,gCO2e emissions,nil
257,gCO2e emissions,nil
258,gCO2e emissions,nil
259,gCO2e emissions,nil
260,gCO2e emissions,nil
261,gCO2e emissions,nil
262,gCO2e emissions,nil
263,gCO2e emissions,nil
264,gCO2e emissions,nil
265,gCO2e emissions,nil
266,gCO2e emissions,nil
267,gCO2e emissions,nil
268,gCO2e emissions,nil
269,gCO2e emissions,nil
270,gCO2e emissions,nil
271,gCO2e emissions,nil
272,gCO2e emissions,nil
273,gCO2e emissions,nil
274,gCO2e emissions,nil
275,gCO2e emissions,nil
276,gCO2e emissions,nil
277,gCO2e emissions,nil
278,gCO2e emissions,nil
279,gCO2e emissions,nil
280,gCO2e emissions,nil
281,gCO2e emissions,nil
282,gCO2e emissions,nil
283,gCO2e emissions,nil
284,gCO2e emissions,nil
285,gCO2e emissions,nil
286,gCO2e emissions,nil
287,gCO2e emissions,nil
288,gCO2e emissions,nil
289,gCO2e emissions,nil
290,gCO2e emissions,nil
291,gCO2e emissions,nil
292,gCO2e emissions,nil
293,gCO2e emissions,nil
294,gCO2e emissions,nil
295,gCO2e emissions,nil
296,gCO2e emissions,nil
297,gCO2e emissions,nil
298,gCO2e emissions,nil
299,gCO2e emissions,nil
300,gCO2e emissions,nil
301,gCO2e emissions,nil
302,gCO2e emissions,nil
303,gCO2e emissions,nil
304,gCO2e emissions,nil
305,gCO2e emissions,nil
306,gCO2e emissions,nil
307,gCO2e emissions,nil
308,gCO2e emissions,nil
309,gCO2e emissions,nil
310,gCO2e emissions,nil
311,gCO2e emissions,nil
312,gCO2e emissions,nil
313,gCO2e emissions,nil
314,gCO2e emissions,nil
315,gCO2e emissions,nil
316,gCO2e emissions,nil
317,gCO2e emissions,nil
318,gCO2e emissions,nil
319,gCO2e emissions,nil
320,gCO2e emissions,nil
321,gCO2e emissions,nil
322,gCO2e emissions,nil
323,gCO2e emissions,nil
324,gCO2e emissions,nil
325,gCO2e emissions,nil
326,gCO2e emissions,nil
327,gCO2e emissions,nil
328,gCO2e emissions,nil
329,gCO2e emissions,nil
330,gCO2e emissions,nil
331,gCO2e emissions,nil
332,gCO2e emissions,nil
333,gCO2e emissions,nil
334,gCO2e emissions,nil
335,gCO2e emissions,nil
336,gCO2e emissions,nil
337,gCO2e emissions,nil
338,gCO2e emissions,nil
339,gCO2e emissions,nil
340,gCO2e emissions,nil
341,gCO2e emissions,nil
342,gCO2e emissions,nil
343,gCO2e emissions,nil
344,gCO2e emissions,nil
345,gCO2e emissions,nil
346,gCO2e emissions,nil
347,gCO2e emissions,nil
348,gCO2e emissions,nil
349,gCO2e emissions,nil
350,gCO2e emissions,nil
351,gCO2e emissions,nil
352,gCO2e emissions,nil
353,gCO2e emissions,nil
354,gCO2e emissions,nil
355,gCO2e emissions,nil
356,gCO2e emissions,nil
357,gCO2e emissions,nil
358,gCO2e emissions,nil
359,gCO2e emissions,nil
360,gCO2e emissions,nil
361,gCO2e emissions,nil
362,gCO2e emissions,nil
363,gCO2e emissions,nil
364,gCO2e emissions,nil
365,gCO2e emissions,nil
366,gCO2e emissions,nil
367,gCO2e emissions,nil
368,gCO2e emissions,nil
369,gCO2e emissions,nil
370,gCO2e emissions,nil
371,gCO2e emissions,nil
372,gCO2e emissions,nil
373,gCO2e emissions,nil
374,gCO2e emissions,nil
375,gCO2e emissions,nil
376,gCO2e emissions,nil
377,gCO2e emissions,nil
378,gCO2e emissions,nil
379,gCO2e emissions,nil
380,gCO2e emissions,nil
381,gCO2e emissions,nil
382,gCO2e emissions,nil
383,gCO2e emissions,nil
384,gCO2e emissions,nil
385,gCO2e emissions,nil
386,gCO2e emissions,nil
387,gCO2e emissions,nil
388,gCO2e emissions,nil
389,gCO2e emissions,nil
390,gCO2e emissions,nil
391,gCO2e emissions,nil
392,gCO2e emissions,nil
393,gCO2e emissions,nil
394,gCO2e emissions,nil
395,gCO2e emissions,nil
396,gCO2e emissions,nil
397,gCO2e emissions,nil
398,gCO2e emissions,nil
399,gCO2e emissions,nil
400,gCO2e emissions,nil
401,gCO2e emissions,nil
402,gCO2e emissions,nil
403,gCO2e emissions,nil
404,gCO2e emissions,nil
405,gCO2e emissions,nil
406,gCO2e emissions,nil
407,gCO2e emissions,nil
408,gCO2e emissions,nil
409,gCO2e emissions,nil
410,gCO2e emissions,nil
411,gCO2e emissions,nil
412,gCO2e emissions,nil
413,gCO2e emissions,nil
414,gCO2e emissions,nil
415,gCO2e emissions,nil
416,gCO2e emissions,nil
417,gCO2e emissions,nil
418,gCO2e emissions,nil
419,gCO2e emissions,nil
420,gCO2e emissions,nil
421,gCO2e emissions,nil
422,gCO2e emissions,nil
423,gCO2e emissions,nil
424,gCO2e emissions,nil
425,gCO2e emissions,nil
426,gCO2e emissions,nil
427,gCO2e emissions,nil
428,gCO2e emissions,nil
429,gCO2e emissions,nil
430,gCO2e emissions,nil
431,gCO2e emissions,nil
432,gCO2e emissions,nil
433,gCO2e emissions,nil
434,gCO2e emissions,nil
435,gCO2e emissions,nil
436,gCO2e emissions,nil
437,gCO2e emissions,nil
438,gCO2e emissions,nil
439,gCO2e emissions,nil
440,gCO2e emissions,nil
441,gCO2e emissions,nil
442,gCO2e emissions,nil
443,gCO2e emissions,nil
444,gCO2e emissions,nil
445,gCO2e emissions,nil
446,gCO2e emissions,nil
447,gCO2e emissions,nil
448,gCO2e emissions,nil
449,gCO2e emissions,nil
450,gCO2e emissions,nil
451,gCO2e emissions,nil
452,gCO2e emissions,nil
453,gCO2e emissions,nil
454,gCO2e emissions,nil
455,gCO2e emissions,nil
456,gCO2e emissions,nil
457,gCO2e emissions,nil
458,gCO2e emissions,nil
459,gCO2e emissions,nil
460,gCO2e emissions,nil
461,gCO2e emissions,nil
462,gCO2e emissions,nil
463,gCO2e emissions,nil
464,gCO2e emissions,nil
465,gCO2e emissions,nil
466,gCO2e emissions,nil
467,gCO2e emissions,nil
468,gCO2e emissions,nil
469,gCO2e emissions,nil
470,gCO2e emissions,nil
471,gCO2e emissions,nil
472,gCO2e emissions,nil
473,gCO2e emissions,nil
474,gCO2e emissions,nil
475,gCO2e emissions,nil
476,gCO2e emissions,nil
477,gCO2e emissions,nil
478,gCO2e emissions,nil
479,gCO2e emissions,nil
480,gCO2e emissions,nil
481,gCO2e emissions,nil
482,gCO2e emissions,nil
