cycle,c,tick_pop_consumption_Tc
73,taxi,nil
74,minibus,nil
74,tgv,nil
74,ter,nil
74,truck,nil
74,taxi,nil
75,minibus,nil
75,tgv,nil
75,ter,nil
75,truck,nil
75,taxi,nil
76,minibus,nil
76,tgv,nil
76,ter,nil
76,truck,nil
76,taxi,nil
77,minibus,nil
77,tgv,nil
77,ter,nil
77,truck,nil
77,taxi,nil
78,minibus,nil
78,tgv,nil
78,ter,nil
78,truck,nil
78,taxi,nil
79,minibus,nil
79,tgv,nil
79,ter,nil
79,truck,nil
79,taxi,nil
80,minibus,nil
80,tgv,nil
80,ter,nil
80,truck,nil
80,taxi,nil
81,minibus,nil
81,tgv,nil
81,ter,nil
81,truck,nil
81,taxi,nil
82,minibus,nil
82,tgv,nil
82,ter,nil
82,truck,nil
82,taxi,nil
83,minibus,nil
83,tgv,nil
83,ter,nil
83,truck,nil
83,taxi,nil
84,minibus,nil
84,tgv,nil
84,ter,nil
84,truck,nil
84,taxi,nil
85,minibus,nil
85,tgv,nil
85,ter,nil
85,truck,nil
85,taxi,nil
86,minibus,nil
86,tgv,nil
86,ter,nil
86,truck,nil
86,taxi,nil
87,minibus,nil
87,tgv,nil
87,ter,nil
87,truck,nil
87,taxi,nil
88,minibus,nil
88,tgv,nil
88,ter,nil
88,truck,nil
88,taxi,nil
89,minibus,nil
89,tgv,nil
89,ter,nil
89,truck,nil
89,taxi,nil
90,minibus,nil
90,tgv,nil
90,ter,nil
90,truck,nil
90,taxi,nil
91,minibus,nil
91,tgv,nil
91,ter,nil
91,truck,nil
91,taxi,nil
92,minibus,nil
92,tgv,nil
92,ter,nil
92,truck,nil
92,taxi,nil
93,minibus,nil
93,tgv,nil
93,ter,nil
93,truck,nil
93,taxi,nil
94,minibus,nil
94,tgv,nil
94,ter,nil
94,truck,nil
94,taxi,nil
95,minibus,nil
95,tgv,nil
95,ter,nil
95,truck,nil
95,taxi,nil
96,minibus,nil
96,tgv,nil
96,ter,nil
96,truck,nil
96,taxi,nil
97,minibus,nil
97,tgv,nil
97,ter,nil
97,truck,nil
97,taxi,nil
98,minibus,nil
98,tgv,nil
98,ter,nil
98,truck,nil
98,taxi,nil
99,minibus,nil
99,tgv,nil
99,ter,nil
99,truck,nil
99,taxi,nil
100,minibus,nil
100,tgv,nil
100,ter,nil
100,truck,nil
100,taxi,nil
101,minibus,nil
101,tgv,nil
101,ter,nil
101,truck,nil
101,taxi,nil
102,minibus,nil
102,tgv,nil
102,ter,nil
102,truck,nil
102,taxi,nil
103,minibus,nil
103,tgv,nil
103,ter,nil
103,truck,nil
103,taxi,nil
104,minibus,nil
104,tgv,nil
104,ter,nil
104,truck,nil
104,taxi,nil
105,minibus,nil
105,tgv,nil
105,ter,nil
105,truck,nil
105,taxi,nil
106,minibus,nil
106,tgv,nil
106,ter,nil
106,truck,nil
106,taxi,nil
107,minibus,nil
107,tgv,nil
107,ter,nil
107,truck,nil
107,taxi,nil
108,minibus,nil
108,tgv,nil
108,ter,nil
108,truck,nil
108,taxi,nil
109,minibus,nil
109,tgv,nil
109,ter,nil
109,truck,nil
109,taxi,nil
110,minibus,nil
110,tgv,nil
110,ter,nil
110,truck,nil
110,taxi,nil
111,minibus,nil
111,tgv,nil
111,ter,nil
111,truck,nil
111,taxi,nil
112,minibus,nil
112,tgv,nil
112,ter,nil
112,truck,nil
112,taxi,nil
113,minibus,nil
113,tgv,nil
113,ter,nil
113,truck,nil
113,taxi,nil
114,minibus,nil
114,tgv,nil
114,ter,nil
114,truck,nil
114,taxi,nil
115,minibus,nil
115,tgv,nil
115,ter,nil
115,truck,nil
115,taxi,nil
116,minibus,nil
116,tgv,nil
116,ter,nil
116,truck,nil
116,taxi,nil
117,minibus,nil
117,tgv,nil
117,ter,nil
117,truck,nil
117,taxi,nil
118,minibus,nil
118,tgv,nil
118,ter,nil
118,truck,nil
118,taxi,nil
119,minibus,nil
119,tgv,nil
119,ter,nil
119,truck,nil
119,taxi,nil
120,minibus,nil
120,tgv,nil
120,ter,nil
120,truck,nil
120,taxi,nil
121,minibus,nil
121,tgv,nil
121,ter,nil
121,truck,nil
121,taxi,nil
122,minibus,nil
122,tgv,nil
122,ter,nil
122,truck,nil
122,taxi,nil
123,minibus,nil
123,tgv,nil
123,ter,nil
123,truck,nil
123,taxi,nil
124,minibus,nil
124,tgv,nil
124,ter,nil
124,truck,nil
124,taxi,nil
125,minibus,nil
125,tgv,nil
125,ter,nil
125,truck,nil
125,taxi,nil
126,minibus,nil
126,tgv,nil
126,ter,nil
126,truck,nil
126,taxi,nil
127,minibus,nil
127,tgv,nil
127,ter,nil
127,truck,nil
127,taxi,nil
128,minibus,nil
128,tgv,nil
128,ter,nil
128,truck,nil
128,taxi,nil
129,minibus,nil
129,tgv,nil
129,ter,nil
129,truck,nil
129,taxi,nil
130,minibus,nil
130,tgv,nil
130,ter,nil
130,truck,nil
130,taxi,nil
131,minibus,nil
131,tgv,nil
131,ter,nil
131,truck,nil
131,taxi,nil
132,minibus,nil
132,tgv,nil
132,ter,nil
132,truck,nil
132,taxi,nil
133,minibus,nil
133,tgv,nil
133,ter,nil
133,truck,nil
133,taxi,nil
134,minibus,nil
134,tgv,nil
134,ter,nil
134,truck,nil
134,taxi,nil
135,minibus,nil
135,tgv,nil
135,ter,nil
135,truck,nil
135,taxi,nil
136,minibus,nil
136,tgv,nil
136,ter,nil
136,truck,nil
136,taxi,nil
137,minibus,nil
137,tgv,nil
137,ter,nil
137,truck,nil
137,taxi,nil
138,minibus,nil
138,tgv,nil
138,ter,nil
138,truck,nil
138,taxi,nil
139,minibus,nil
139,tgv,nil
139,ter,nil
139,truck,nil
139,taxi,nil
140,minibus,nil
140,tgv,nil
140,ter,nil
140,truck,nil
140,taxi,nil
141,minibus,nil
141,tgv,nil
141,ter,nil
141,truck,nil
141,taxi,nil
142,minibus,nil
142,tgv,nil
142,ter,nil
142,truck,nil
142,taxi,nil
143,minibus,nil
143,tgv,nil
143,ter,nil
143,truck,nil
143,taxi,nil
144,minibus,nil
144,tgv,nil
144,ter,nil
144,truck,nil
144,taxi,nil
145,minibus,nil
145,tgv,nil
145,ter,nil
145,truck,nil
145,taxi,nil
146,minibus,nil
146,tgv,nil
146,ter,nil
146,truck,nil
146,taxi,nil
147,minibus,nil
147,tgv,nil
147,ter,nil
147,truck,nil
147,taxi,nil
148,minibus,nil
148,tgv,nil
148,ter,nil
148,truck,nil
148,taxi,nil
149,minibus,nil
149,tgv,nil
149,ter,nil
149,truck,nil
149,taxi,nil
150,minibus,nil
150,tgv,nil
150,ter,nil
150,truck,nil
150,taxi,nil
151,minibus,nil
151,tgv,nil
151,ter,nil
151,truck,nil
151,taxi,nil
152,minibus,nil
152,tgv,nil
152,ter,nil
152,truck,nil
152,taxi,nil
153,minibus,nil
153,tgv,nil
153,ter,nil
153,truck,nil
153,taxi,nil
154,minibus,nil
154,tgv,nil
154,ter,nil
154,truck,nil
154,taxi,nil
155,minibus,nil
155,tgv,nil
155,ter,nil
155,truck,nil
155,taxi,nil
156,minibus,nil
156,tgv,nil
156,ter,nil
156,truck,nil
156,taxi,nil
157,minibus,nil
157,tgv,nil
157,ter,nil
157,truck,nil
157,taxi,nil
158,minibus,nil
158,tgv,nil
158,ter,nil
158,truck,nil
158,taxi,nil
159,minibus,nil
159,tgv,nil
159,ter,nil
159,truck,nil
159,taxi,nil
160,minibus,nil
160,tgv,nil
160,ter,nil
160,truck,nil
160,taxi,nil
161,minibus,nil
161,tgv,nil
161,ter,nil
161,truck,nil
161,taxi,nil
162,minibus,nil
162,tgv,nil
162,ter,nil
162,truck,nil
162,taxi,nil
163,minibus,nil
163,tgv,nil
163,ter,nil
163,truck,nil
163,taxi,nil
164,minibus,nil
164,tgv,nil
164,ter,nil
164,truck,nil
164,taxi,nil
165,minibus,nil
165,tgv,nil
165,ter,nil
165,truck,nil
165,taxi,nil
166,minibus,nil
166,tgv,nil
166,ter,nil
166,truck,nil
166,taxi,nil
167,minibus,nil
167,tgv,nil
167,ter,nil
167,truck,nil
167,taxi,nil
168,minibus,nil
168,tgv,nil
168,ter,nil
168,truck,nil
168,taxi,nil
169,minibus,nil
169,tgv,nil
169,ter,nil
169,truck,nil
169,taxi,nil
170,minibus,nil
170,tgv,nil
170,ter,nil
170,truck,nil
170,taxi,nil
171,minibus,nil
171,tgv,nil
171,ter,nil
171,truck,nil
171,taxi,nil
172,minibus,nil
172,tgv,nil
172,ter,nil
172,truck,nil
172,taxi,nil
173,minibus,nil
173,tgv,nil
173,ter,nil
173,truck,nil
173,taxi,nil
174,minibus,nil
174,tgv,nil
174,ter,nil
174,truck,nil
174,taxi,nil
175,minibus,nil
175,tgv,nil
175,ter,nil
175,truck,nil
175,taxi,nil
176,minibus,nil
176,tgv,nil
176,ter,nil
176,truck,nil
176,taxi,nil
177,minibus,nil
177,tgv,nil
177,ter,nil
177,truck,nil
177,taxi,nil
178,minibus,nil
178,tgv,nil
178,ter,nil
178,truck,nil
178,taxi,nil
179,minibus,nil
179,tgv,nil
179,ter,nil
179,truck,nil
179,taxi,nil
180,minibus,nil
180,tgv,nil
180,ter,nil
180,truck,nil
180,taxi,nil
181,minibus,nil
181,tgv,nil
181,ter,nil
181,truck,nil
181,taxi,nil
182,minibus,nil
182,tgv,nil
182,ter,nil
182,truck,nil
182,taxi,nil
183,minibus,nil
183,tgv,nil
183,ter,nil
183,truck,nil
183,taxi,nil
184,minibus,nil
184,tgv,nil
184,ter,nil
184,truck,nil
184,taxi,nil
185,minibus,nil
185,tgv,nil
185,ter,nil
185,truck,nil
185,taxi,nil
186,minibus,nil
186,tgv,nil
186,ter,nil
186,truck,nil
186,taxi,nil
187,minibus,nil
187,tgv,nil
187,ter,nil
187,truck,nil
187,taxi,nil
188,minibus,nil
188,tgv,nil
188,ter,nil
188,truck,nil
188,taxi,nil
189,minibus,nil
189,tgv,nil
189,ter,nil
189,truck,nil
189,taxi,nil
190,minibus,nil
190,tgv,nil
190,ter,nil
190,truck,nil
190,taxi,nil
191,minibus,nil
191,tgv,nil
191,ter,nil
191,truck,nil
191,taxi,nil
192,minibus,nil
192,tgv,nil
192,ter,nil
192,truck,nil
192,taxi,nil
193,minibus,nil
193,tgv,nil
193,ter,nil
193,truck,nil
193,taxi,nil
194,minibus,nil
194,tgv,nil
194,ter,nil
194,truck,nil
194,taxi,nil
195,minibus,nil
195,tgv,nil
195,ter,nil
195,truck,nil
195,taxi,nil
196,minibus,nil
196,tgv,nil
196,ter,nil
196,truck,nil
196,taxi,nil
197,minibus,nil
197,tgv,nil
197,ter,nil
197,truck,nil
197,taxi,nil
198,minibus,nil
198,tgv,nil
198,ter,nil
198,truck,nil
198,taxi,nil
199,minibus,nil
199,tgv,nil
199,ter,nil
199,truck,nil
199,taxi,nil
200,minibus,nil
200,tgv,nil
200,ter,nil
200,truck,nil
200,taxi,nil
201,minibus,nil
201,tgv,nil
201,ter,nil
201,truck,nil
201,taxi,nil
202,minibus,nil
202,tgv,nil
202,ter,nil
202,truck,nil
202,taxi,nil
203,minibus,nil
203,tgv,nil
203,ter,nil
203,truck,nil
203,taxi,nil
204,minibus,nil
204,tgv,nil
204,ter,nil
204,truck,nil
204,taxi,nil
205,minibus,nil
205,tgv,nil
205,ter,nil
205,truck,nil
205,taxi,nil
206,minibus,nil
206,tgv,nil
206,ter,nil
206,truck,nil
206,taxi,nil
207,minibus,nil
207,tgv,nil
207,ter,nil
207,truck,nil
207,taxi,nil
208,minibus,nil
208,tgv,nil
208,ter,nil
208,truck,nil
208,taxi,nil
209,minibus,nil
209,tgv,nil
209,ter,nil
209,truck,nil
209,taxi,nil
210,minibus,nil
210,tgv,nil
210,ter,nil
210,truck,nil
210,taxi,nil
211,minibus,nil
211,tgv,nil
211,ter,nil
211,truck,nil
211,taxi,nil
212,minibus,nil
212,tgv,nil
212,ter,nil
212,truck,nil
212,taxi,nil
213,minibus,nil
213,tgv,nil
213,ter,nil
213,truck,nil
213,taxi,nil
214,minibus,nil
214,tgv,nil
214,ter,nil
214,truck,nil
214,taxi,nil
215,minibus,nil
215,tgv,nil
215,ter,nil
215,truck,nil
215,taxi,nil
216,minibus,nil
216,tgv,nil
216,ter,nil
216,truck,nil
216,taxi,nil
217,minibus,nil
217,tgv,nil
217,ter,nil
217,truck,nil
217,taxi,nil
218,minibus,nil
218,tgv,nil
218,ter,nil
218,truck,nil
218,taxi,nil
219,minibus,nil
219,tgv,nil
219,ter,nil
219,truck,nil
219,taxi,nil
220,minibus,nil
220,tgv,nil
220,ter,nil
220,truck,nil
220,taxi,nil
221,minibus,nil
221,tgv,nil
221,ter,nil
221,truck,nil
221,taxi,nil
222,minibus,nil
222,tgv,nil
222,ter,nil
222,truck,nil
222,taxi,nil
223,minibus,nil
223,tgv,nil
223,ter,nil
223,truck,nil
223,taxi,nil
224,minibus,nil
224,tgv,nil
224,ter,nil
224,truck,nil
224,taxi,nil
225,minibus,nil
225,tgv,nil
