cycle,c,tick_production_Tc
1517,minibus,nil
1517,tgv,nil
1517,ter,nil
1517,truck,nil
1517,taxi,nil
1518,minibus,nil
1518,tgv,nil
1518,ter,nil
1518,truck,nil
1518,taxi,nil
1519,minibus,nil
1519,tgv,nil
1519,ter,nil
1519,truck,nil
1519,taxi,nil
1520,minibus,nil
1520,tgv,nil
1520,ter,nil
1520,truck,nil
1520,taxi,nil
1521,minibus,nil
1521,tgv,nil
1521,ter,nil
1521,truck,nil
1521,taxi,nil
1522,minibus,nil
1522,tgv,nil
1522,ter,nil
1522,truck,nil
1522,taxi,nil
1523,minibus,nil
1523,tgv,nil
1523,ter,nil
1523,truck,nil
1523,taxi,nil
1524,minibus,nil
1524,tgv,nil
1524,ter,nil
1524,truck,nil
1524,taxi,nil
1525,minibus,nil
1525,tgv,nil
1525,ter,nil
1525,truck,nil
1525,taxi,nil
1526,minibus,nil
1526,tgv,nil
1526,ter,nil
1526,truck,nil
1526,taxi,nil
1527,minibus,nil
1527,tgv,nil
1527,ter,nil
1527,truck,nil
1527,taxi,nil
1528,minibus,nil
1528,tgv,nil
1528,ter,nil
1528,truck,nil
1528,taxi,nil
1529,minibus,nil
1529,tgv,nil
1529,ter,nil
1529,truck,nil
1529,taxi,nil
1530,minibus,nil
1530,tgv,nil
1530,ter,nil
1530,truck,nil
1530,taxi,nil
1531,minibus,nil
1531,tgv,nil
1531,ter,nil
1531,truck,nil
1531,taxi,nil
1532,minibus,nil
1532,tgv,nil
1532,ter,nil
1532,truck,nil
1532,taxi,nil
1533,minibus,nil
1533,tgv,nil
1533,ter,nil
1533,truck,nil
1533,taxi,nil
1534,minibus,nil
1534,tgv,nil
1534,ter,nil
1534,truck,nil
1534,taxi,nil
1535,minibus,nil
1535,tgv,nil
1535,ter,nil
1535,truck,nil
1535,taxi,nil
1536,minibus,nil
1536,tgv,nil
1536,ter,nil
1536,truck,nil
1536,taxi,nil
1537,minibus,nil
1537,tgv,nil
1537,ter,nil
1537,truck,nil
1537,taxi,nil
1538,minibus,nil
1538,tgv,nil
1538,ter,nil
1538,truck,nil
1538,taxi,nil
1539,minibus,nil
1539,tgv,nil
1539,ter,nil
1539,truck,nil
1539,taxi,nil
1540,minibus,nil
1540,tgv,nil
1540,ter,nil
1540,truck,nil
1540,taxi,nil
1541,minibus,nil
1541,tgv,nil
1541,ter,nil
1541,truck,nil
1541,taxi,nil
1542,minibus,nil
1542,tgv,nil
1542,ter,nil
1542,truck,nil
1542,taxi,nil
1543,minibus,nil
1543,tgv,nil
1543,ter,nil
1543,truck,nil
1543,taxi,nil
1544,minibus,nil
1544,tgv,nil
1544,ter,nil
1544,truck,nil
1544,taxi,nil
1545,minibus,nil
1545,tgv,nil
1545,ter,nil
1545,truck,nil
1545,taxi,nil
1546,minibus,nil
1546,tgv,nil
1546,ter,nil
1546,truck,nil
1546,taxi,nil
1547,minibus,nil
1547,tgv,nil
1547,ter,nil
1547,truck,nil
1547,taxi,nil
1548,minibus,nil
1548,tgv,nil
1548,ter,nil
1548,truck,nil
1548,taxi,nil
1549,minibus,nil
1549,tgv,nil
1549,ter,nil
1549,truck,nil
1549,taxi,nil
1550,minibus,nil
1550,tgv,nil
1550,ter,nil
1550,truck,nil
1550,taxi,nil
1551,minibus,nil
1551,tgv,nil
1551,ter,nil
1551,truck,nil
1551,taxi,nil
1552,minibus,nil
1552,tgv,nil
1552,ter,nil
1552,truck,nil
1552,taxi,nil
1553,minibus,nil
1553,tgv,nil
1553,ter,nil
1553,truck,nil
1553,taxi,nil
1554,minibus,nil
1554,tgv,nil
1554,ter,nil
1554,truck,nil
1554,taxi,nil
1555,minibus,nil
1555,tgv,nil
1555,ter,nil
1555,truck,nil
1555,taxi,nil
1556,minibus,nil
1556,tgv,nil
1556,ter,nil
1556,truck,nil
1556,taxi,nil
1557,minibus,nil
1557,tgv,nil
1557,ter,nil
1557,truck,nil
1557,taxi,nil
1558,minibus,nil
1558,tgv,nil
1558,ter,nil
1558,truck,nil
1558,taxi,nil
1559,minibus,nil
1559,tgv,nil
1559,ter,nil
1559,truck,nil
1559,taxi,nil
1560,minibus,nil
1560,tgv,nil
1560,ter,nil
1560,truck,nil
1560,taxi,nil
1561,minibus,nil
1561,tgv,nil
1561,ter,nil
1561,truck,nil
1561,taxi,nil
1562,minibus,nil
1562,tgv,nil
1562,ter,nil
1562,truck,nil
1562,taxi,nil
1563,minibus,nil
1563,tgv,nil
1563,ter,nil
1563,truck,nil
1563,taxi,nil
1564,minibus,nil
1564,tgv,nil
1564,ter,nil
1564,truck,nil
1564,taxi,nil
1565,minibus,nil
1565,tgv,nil
1565,ter,nil
1565,truck,nil
1565,taxi,nil
1566,minibus,nil
1566,tgv,nil
1566,ter,nil
1566,truck,nil
1566,taxi,nil
1567,minibus,nil
1567,tgv,nil
1567,ter,nil
1567,truck,nil
1567,taxi,nil
1568,minibus,nil
1568,tgv,nil
1568,ter,nil
1568,truck,nil
1568,taxi,nil
1569,minibus,nil
1569,tgv,nil
1569,ter,nil
1569,truck,nil
1569,taxi,nil
1570,minibus,nil
1570,tgv,nil
1570,ter,nil
1570,truck,nil
1570,taxi,nil
1571,minibus,nil
1571,tgv,nil
1571,ter,nil
1571,truck,nil
1571,taxi,nil
1572,minibus,nil
1572,tgv,nil
1572,ter,nil
1572,truck,nil
1572,taxi,nil
1573,minibus,nil
1573,tgv,nil
1573,ter,nil
1573,truck,nil
1573,taxi,nil
1574,minibus,nil
1574,tgv,nil
1574,ter,nil
1574,truck,nil
1574,taxi,nil
1575,minibus,nil
1575,tgv,nil
1575,ter,nil
1575,truck,nil
1575,taxi,nil
1576,minibus,nil
1576,tgv,nil
1576,ter,nil
1576,truck,nil
1576,taxi,nil
1577,minibus,nil
1577,tgv,nil
1577,ter,nil
1577,truck,nil
1577,taxi,nil
1578,minibus,nil
1578,tgv,nil
1578,ter,nil
1578,truck,nil
1578,taxi,nil
1579,minibus,nil
1579,tgv,nil
1579,ter,nil
1579,truck,nil
1579,taxi,nil
1580,minibus,nil
1580,tgv,nil
1580,ter,nil
1580,truck,nil
1580,taxi,nil
1581,minibus,nil
1581,tgv,nil
1581,ter,nil
1581,truck,nil
1581,taxi,nil
1582,minibus,nil
1582,tgv,nil
1582,ter,nil
1582,truck,nil
1582,taxi,nil
1583,minibus,nil
1583,tgv,nil
1583,ter,nil
1583,truck,nil
1583,taxi,nil
1584,minibus,nil
1584,tgv,nil
1584,ter,nil
1584,truck,nil
1584,taxi,nil
1585,minibus,nil
1585,tgv,nil
1585,ter,nil
1585,truck,nil
1585,taxi,nil
1586,minibus,nil
1586,tgv,nil
1586,ter,nil
1586,truck,nil
1586,taxi,nil
1587,minibus,nil
1587,tgv,nil
1587,ter,nil
1587,truck,nil
1587,taxi,nil
1588,minibus,nil
1588,tgv,nil
1588,ter,nil
1588,truck,nil
1588,taxi,nil
1589,minibus,nil
1589,tgv,nil
1589,ter,nil
1589,truck,nil
1589,taxi,nil
1590,minibus,nil
1590,tgv,nil
1590,ter,nil
1590,truck,nil
1590,taxi,nil
1591,minibus,nil
1591,tgv,nil
1591,ter,nil
1591,truck,nil
1591,taxi,nil
1592,minibus,nil
1592,tgv,nil
1592,ter,nil
1592,truck,nil
1592,taxi,nil
1593,minibus,nil
1593,tgv,nil
1593,ter,nil
1593,truck,nil
1593,taxi,nil
1594,minibus,nil
1594,tgv,nil
1594,ter,nil
1594,truck,nil
1594,taxi,nil
1595,minibus,nil
1595,tgv,nil
1595,ter,nil
1595,truck,nil
1595,taxi,nil
1596,minibus,nil
1596,tgv,nil
1596,ter,nil
1596,truck,nil
1596,taxi,nil
1597,minibus,nil
1597,tgv,nil
1597,ter,nil
1597,truck,nil
1597,taxi,nil
1598,minibus,nil
1598,tgv,nil
1598,ter,nil
1598,truck,nil
1598,taxi,nil
1599,minibus,nil
1599,tgv,nil
1599,ter,nil
1599,truck,nil
1599,taxi,nil
1600,minibus,nil
1600,tgv,nil
1600,ter,nil
1600,truck,nil
1600,taxi,nil
1601,minibus,nil
1601,tgv,nil
1601,ter,nil
1601,truck,nil
1601,taxi,nil
1602,minibus,nil
1602,tgv,nil
1602,ter,nil
1602,truck,nil
1602,taxi,nil
1603,minibus,nil
1603,tgv,nil
1603,ter,nil
1603,truck,nil
1603,taxi,nil
1604,minibus,nil
1604,tgv,nil
1604,ter,nil
1604,truck,nil
1604,taxi,nil
1605,minibus,nil
1605,tgv,nil
1605,ter,nil
1605,truck,nil
1605,taxi,nil
1606,minibus,nil
1606,tgv,nil
1606,ter,nil
1606,truck,nil
1606,taxi,nil
1607,minibus,nil
1607,tgv,nil
1607,ter,nil
1607,truck,nil
1607,taxi,nil
1608,minibus,nil
1608,tgv,nil
1608,ter,nil
1608,truck,nil
1608,taxi,nil
1609,minibus,nil
1609,tgv,nil
1609,ter,nil
1609,truck,nil
1609,taxi,nil
1610,minibus,nil
1610,tgv,nil
1610,ter,nil
1610,truck,nil
1610,taxi,nil
1611,minibus,nil
1611,tgv,nil
1611,ter,nil
1611,truck,nil
1611,taxi,nil
1612,minibus,nil
1612,tgv,nil
1612,ter,nil
1612,truck,nil
1612,taxi,nil
1613,minibus,nil
1613,tgv,nil
1613,ter,nil
1613,truck,nil
1613,taxi,nil
1614,minibus,nil
1614,tgv,nil
1614,ter,nil
1614,truck,nil
1614,taxi,nil
1615,minibus,nil
1615,tgv,nil
1615,ter,nil
1615,truck,nil
1615,taxi,nil
1616,minibus,nil
1616,tgv,nil
1616,ter,nil
1616,truck,nil
1616,taxi,nil
1617,minibus,nil
1617,tgv,nil
1617,ter,nil
1617,truck,nil
1617,taxi,nil
1618,minibus,nil
1618,tgv,nil
1618,ter,nil
1618,truck,nil
1618,taxi,nil
1619,minibus,nil
1619,tgv,nil
1619,ter,nil
1619,truck,nil
1619,taxi,nil
1620,minibus,nil
1620,tgv,nil
1620,ter,nil
1620,truck,nil
1620,taxi,nil
1621,minibus,nil
1621,tgv,nil
1621,ter,nil
1621,truck,nil
1621,taxi,nil
1622,minibus,nil
1622,tgv,nil
1622,ter,nil
1622,truck,nil
1622,taxi,nil
1623,minibus,nil
1623,tgv,nil
1623,ter,nil
1623,truck,nil
1623,taxi,nil
1624,minibus,nil
1624,tgv,nil
1624,ter,nil
1624,truck,nil
1624,taxi,nil
1625,minibus,nil
1625,tgv,nil
1625,ter,nil
1625,truck,nil
1625,taxi,nil
1626,minibus,nil
1626,tgv,nil
1626,ter,nil
1626,truck,nil
1626,taxi,nil
1627,minibus,nil
1627,tgv,nil
1627,ter,nil
1627,truck,nil
1627,taxi,nil
1628,minibus,nil
1628,tgv,nil
1628,ter,nil
1628,truck,nil
1628,taxi,nil
1629,minibus,nil
1629,tgv,nil
1629,ter,nil
1629,truck,nil
1629,taxi,nil
1630,minibus,nil
1630,tgv,nil
1630,ter,nil
1630,truck,nil
1630,taxi,nil
1631,minibus,nil
1631,tgv,nil
1631,ter,nil
1631,truck,nil
1631,taxi,nil
1632,minibus,nil
1632,tgv,nil
1632,ter,nil
1632,truck,nil
1632,taxi,nil
1633,minibus,nil
1633,tgv,nil
1633,ter,nil
1633,truck,nil
1633,taxi,nil
1634,minibus,nil
1634,tgv,nil
1634,ter,nil
1634,truck,nil
1634,taxi,nil
1635,minibus,nil
1635,tgv,nil
1635,ter,nil
1635,truck,nil
1635,taxi,nil
1636,minibus,nil
1636,tgv,nil
1636,ter,nil
1636,truck,nil
1636,taxi,nil
1637,minibus,nil
1637,tgv,nil
1637,ter,nil
1637,truck,nil
1637,taxi,nil
1638,minibus,nil
1638,tgv,nil
1638,ter,nil
1638,truck,nil
1638,taxi,nil
1639,minibus,nil
1639,tgv,nil
1639,ter,nil
1639,truck,nil
1639,taxi,nil
1640,minibus,nil
1640,tgv,nil
1640,ter,nil
1640,truck,nil
1640,taxi,nil
1641,minibus,nil
1641,tgv,nil
1641,ter,nil
1641,truck,nil
1641,taxi,nil
1642,minibus,nil
1642,tgv,nil
1642,ter,nil
1642,truck,nil
1642,taxi,nil
1643,minibus,nil
1643,tgv,nil
1643,ter,nil
1643,truck,nil
1643,taxi,nil
1644,minibus,nil
1644,tgv,nil
1644,ter,nil
1644,truck,nil
1644,taxi,nil
1645,minibus,nil
1645,tgv,nil
1645,ter,nil
1645,truck,nil
1645,taxi,nil
1646,minibus,nil
1646,tgv,nil
1646,ter,nil
1646,truck,nil
1646,taxi,nil
1647,minibus,nil
1647,tgv,nil
1647,ter,nil
1647,truck,nil
1647,taxi,nil
1648,minibus,nil
1648,tgv,nil
1648,ter,nil
1648,truck,nil
1648,taxi,nil
1649,minibus,nil
1649,tgv,nil
1649,ter,nil
1649,truck,nil
1649,taxi,nil
1650,minibus,nil
1650,tgv,nil
1650,ter,nil
1650,truck,nil
1650,taxi,nil
1651,minibus,nil
1651,tgv,nil
1651,ter,nil
1651,truck,nil
1651,taxi,nil
1652,minibus,nil
1652,tgv,nil
1652,ter,nil
1652,truck,nil
1652,taxi,nil
1653,minibus,nil
1653,tgv,nil
1653,ter,nil
1653,truck,nil
1653,taxi,nil
1654,minibus,nil
1654,tgv,nil
1654,ter,nil
1654,truck,nil
1654,taxi,nil
1655,minibus,nil
1655,tgv,nil
1655,ter,nil
1655,truck,nil
1655,taxi,nil
1656,minibus,nil
1656,tgv,nil
1656,ter,nil
1656,truck,nil
1656,taxi,nil
1657,minibus,nil
1657,tgv,nil
1657,ter,nil
1657,truck,nil
1657,taxi,nil
1658,minibus,nil
1658,tgv,nil
1658,ter,nil
1658,truck,nil
1658,taxi,nil
1659,minibus,nil
1659,tgv,nil
1659,ter,nil
1659,truck,nil
1659,taxi,nil
1660,minibus,nil
1660,tgv,nil
1660,ter,nil
1660,truck,nil
1660,taxi,nil
1661,minibus,nil
1661,tgv,nil
1661,ter,nil
1661,truck,nil
1661,taxi,nil
1662,minibus,nil
1662,tgv,nil
1662,ter,nil
1662,truck,nil
1662,taxi,nil
1663,minibus,nil
1663,tgv,nil
1663,ter,nil
1663,truck,nil
1663,taxi,nil
1664,minibus,nil
1664,tgv,nil
1664,ter,nil
1664,truck,nil
1664,taxi,nil
1665,minibus,nil
1665,tgv,nil
1665,ter,nil
1665,truck,nil
1665,taxi,nil
1666,minibus,nil
1666,tgv,nil
1666,ter,nil
1666,truck,nil
1666,taxi,nil
1667,minibus,nil
1667,tgv,nil
1667,ter,nil
1667,truck,nil
1667,taxi,nil
1668,minibus,nil
1668,tgv,nil
1668,ter,nil
1668,truck,nil
1668,taxi,nil
1669,minibus,nil
1669,tgv,nil
1669,ter,nil
1669,truck,nil
1669,taxi,nil
1670,minibus,nil
1670,tgv,nil
1670,ter,nil
1670,truck,nil
1670,taxi,nil
1671,minibus,nil
1671,tgv,nil
1671,ter,nil
1671,truck,nil
1671,taxi,nil
1672,minibus,nil
1672,tgv,nil
1672,ter,nil
1672,truck,nil
1672,taxi,nil
1673,minibus,nil
1673,tgv,nil
1673,ter,nil
1673,truck,nil
1673,taxi,nil
1674,minibus,nil
1674,tgv,nil
1674,ter,nil
1674,truck,nil
1674,taxi,nil
1675,minibus,nil
1675,tgv,nil
1675,ter,nil
1675,truck,nil
1675,taxi,nil
1676,minibus,nil
1676,tgv,nil
1676,ter,nil
1676,truck,nil
1676,taxi,nil
1677,minibus,nil
1677,tgv,nil
1677,ter,nil
1677,truck,nil
1677,taxi,nil
1678,minibus,nil
1678,tgv,nil
1678,ter,nil
1678,truck,nil
1678,taxi,nil
1679,minibus,nil
1679,tgv,nil
1679,ter,nil
1679,truck,nil
1679,taxi,nil
1680,minibus,nil
1680,tgv,nil
1680,ter,nil
1680,truck,nil
1680,taxi,nil
1681,minibus,nil
1681,tgv,nil
1681,ter,nil
1681,truck,nil
1681,taxi,nil
1682,minibus,nil
1682,tgv,nil
1682,ter,nil
1682,truck,nil
1682,taxi,nil
1683,minibus,nil
1683,tgv,nil
1683,ter,nil
1683,truck,nil
1683,taxi,nil
1684,minibus,nil
1684,tgv,nil
1684,ter,nil
1684,truck,nil
1684,taxi,nil
1685,minibus,nil
1685,tgv,nil
1685,ter,nil
1685,truck,nil
1685,taxi,nil
1686,minibus,nil
1686,tgv,nil
1686,ter,nil
1686,truck,nil
1686,taxi,nil
1687,minibus,nil
1687,tgv,nil
1687,ter,nil
1687,truck,nil
1687,taxi,nil
1688,minibus,nil
1688,tgv,nil
1688,ter,nil
1688,truck,nil
1688,taxi,nil
1689,minibus,nil
1689,tgv,nil
1689,ter,nil
1689,truck,nil
1689,taxi,nil
1690,minibus,nil
1690,tgv,nil
1690,ter,nil
1690,truck,nil
1690,taxi,nil
1691,minibus,nil
1691,tgv,nil
1691,ter,nil
1691,truck,nil
1691,taxi,nil
1692,minibus,nil
1692,tgv,nil
1692,ter,nil
1692,truck,nil
1692,taxi,nil
1693,minibus,nil
1693,tgv,nil
1693,ter,nil
1693,truck,nil
1693,taxi,nil
1694,minibus,nil
1694,tgv,nil
1694,ter,nil
1694,truck,nil
1694,taxi,nil
1695,minibus,nil
1695,tgv,nil
1695,ter,nil
1695,truck,nil
1695,taxi,nil
1696,minibus,nil
1696,tgv,nil
1696,ter,nil
1696,truck,nil
1696,taxi,nil
1697,minibus,nil
1697,tgv,nil
1697,ter,nil
1697,truck,nil
1697,taxi,nil
1698,minibus,nil
1698,tgv,nil
1698,ter,nil
1698,truck,nil
1698,taxi,nil
1699,minibus,nil
1699,tgv,nil
1699,ter,nil
1699,truck,nil
1699,taxi,nil
1700,minibus,nil
1700,tgv,nil
1700,ter,nil
1700,truck,nil
1700,taxi,nil
1701,minibus,nil
1701,tgv,nil
1701,ter,nil
1701,truck,nil
1701,taxi,nil
1702,minibus,nil
1702,tgv,nil
1702,ter,nil
1702,truck,nil
1702,taxi,nil
1703,minibus,nil
1703,tgv,nil
1703,ter,nil
1703,truck,nil
1703,taxi,nil
1704,minibus,nil
1704,tgv,nil
1704,ter,nil
1704,truck,nil
1704,taxi,nil
1705,minibus,nil
1705,tgv,nil
1705,ter,nil
1705,truck,nil
1705,taxi,nil
1706,minibus,nil
1706,tgv,nil
1706,ter,nil
1706,truck,nil
1706,taxi,nil
1707,minibus,nil
1707,tgv,nil
1707,ter,nil
1707,truck,nil
1707,taxi,nil
1708,minibus,nil
1708,tgv,nil
1708,ter,nil
1708,truck,nil
1708,taxi,nil
1709,minibus,nil
1709,tgv,nil
1709,ter,nil
1709,truck,nil
1709,taxi,nil
1710,minibus,nil
1710,tgv,nil
1710,ter,nil
1710,truck,nil
1710,taxi,nil
1711,minibus,nil
1711,tgv,nil
1711,ter,nil
1711,truck,nil
1711,taxi,nil
1712,minibus,nil
1712,tgv,nil
1712,ter,nil
1712,truck,nil
1712,taxi,nil
1713,minibus,nil
1713,tgv,nil
1713,ter,nil
1713,truck,nil
1713,taxi,nil
1714,minibus,nil
1714,tgv,nil
1714,ter,nil
1714,truck,nil
1714,taxi,nil
1715,minibus,nil
1715,tgv,nil
1715,ter,nil
1715,truck,nil
1715,taxi,nil
1716,minibus,nil
1716,tgv,nil
1716,ter,nil
1716,truck,nil
1716,taxi,nil
1717,minibus,nil
1717,tgv,nil
1717,ter,nil
1717,truck,nil
1717,taxi,nil
1718,minibus,nil
1718,tgv,nil
1718,ter,nil
1718,truck,nil
1718,taxi,nil
1719,minibus,nil
1719,tgv,nil
1719,ter,nil
1719,truck,nil
1719,taxi,nil
1720,minibus,nil
1720,tgv,nil
1720,ter,nil
1720,truck,nil
1720,taxi,nil
1721,minibus,nil
1721,tgv,nil
1721,ter,nil
1721,truck,nil
1721,taxi,nil
1722,minibus,nil
1722,tgv,nil
1722,ter,nil
1722,truck,nil
1722,taxi,nil
1723,minibus,nil
1723,tgv,nil
1723,ter,nil
1723,truck,nil
1723,taxi,nil
1724,minibus,nil
1724,tgv,nil
1724,ter,nil
1724,truck,nil
1724,taxi,nil
1725,minibus,nil
1725,tgv,nil
1725,ter,nil
1725,truck,nil
1725,taxi,nil
1726,minibus,nil
1726,tgv,nil
1726,ter,nil
1726,truck,nil
1726,taxi,nil
1727,minibus,nil
1727,tgv,nil
1727,ter,nil
1727,truck,nil
1727,taxi,nil
1728,minibus,nil
1728,tgv,nil
1728,ter,nil
1728,truck,nil
1728,taxi,nil
1729,minibus,nil
1729,tgv,nil
1729,ter,nil
1729,truck,nil
1729,taxi,nil
1730,minibus,nil
1730,tgv,nil
1730,ter,nil
1730,truck,nil
1730,taxi,nil
1731,minibus,nil
1731,tgv,nil
1731,ter,nil
1731,truck,nil
1731,taxi,nil
1732,minibus,nil
1732,tgv,nil
1732,ter,nil
1732,truck,nil
1732,taxi,nil
1733,minibus,nil
1733,tgv,nil
1733,ter,nil
1733,truck,nil
1733,taxi,nil
1734,minibus,nil
1734,tgv,nil
1734,ter,nil
1734,truck,nil
1734,taxi,nil
1735,minibus,nil
1735,tgv,nil
1735,ter,nil
1735,truck,nil
1735,taxi,nil
1736,minibus,nil
1736,tgv,nil
1736,ter,nil
1736,truck,nil
1736,taxi,nil
1737,minibus,nil
1737,tgv,nil
1737,ter,nil
1737,truck,nil
1737,taxi,nil
1738,minibus,nil
1738,tgv,nil
1738,ter,nil
1738,truck,nil
1738,taxi,nil
1739,minibus,nil
1739,tgv,nil
1739,ter,nil
1739,truck,nil
1739,taxi,nil
1740,minibus,nil
1740,tgv,nil
1740,ter,nil
1740,truck,nil
1740,taxi,nil
1741,minibus,nil
1741,tgv,nil
1741,ter,nil
1741,truck,nil
1741,taxi,nil
1742,minibus,nil
1742,tgv,nil
1742,ter,nil
1742,truck,nil
1742,taxi,nil
1743,minibus,nil
1743,tgv,nil
1743,ter,nil
1743,truck,nil
1743,taxi,nil
1744,minibus,nil
1744,tgv,nil
1744,ter,nil
1744,truck,nil
1744,taxi,nil
1745,minibus,nil
1745,tgv,nil
1745,ter,nil
1745,truck,nil
1745,taxi,nil
1746,minibus,nil
1746,tgv,nil
1746,ter,nil
1746,truck,nil
1746,taxi,nil
1747,minibus,nil
1747,tgv,nil
1747,ter,nil
1747,truck,nil
1747,taxi,nil
1748,minibus,nil
1748,tgv,nil
1748,ter,nil
1748,truck,nil
1748,taxi,nil
1749,minibus,nil
1749,tgv,nil
1749,ter,nil
1749,truck,nil
1749,taxi,nil
1750,minibus,nil
1750,tgv,nil
1750,ter,nil
1750,truck,nil
1750,taxi,nil
1751,minibus,nil
1751,tgv,nil
1751,ter,nil
1751,truck,nil
1751,taxi,nil
1752,minibus,nil
1752,tgv,nil
1752,ter,nil
1752,truck,nil
1752,taxi,nil
1753,minibus,nil
1753,tgv,nil
1753,ter,nil
1753,truck,nil
1753,taxi,nil
1754,minibus,nil
1754,tgv,nil
1754,ter,nil
1754,truck,nil
1754,taxi,nil
1755,minibus,nil
1755,tgv,nil
1755,ter,nil
1755,truck,nil
1755,taxi,nil
1756,minibus,nil
1756,tgv,nil
1756,ter,nil
1756,truck,nil
1756,taxi,nil
1757,minibus,nil
1757,tgv,nil
1757,ter,nil
1757,truck,nil
1757,taxi,nil
1758,minibus,nil
1758,tgv,nil
1758,ter,nil
1758,truck,nil
1758,taxi,nil
1759,minibus,nil
1759,tgv,nil
1759,ter,nil
1759,truck,nil
1759,taxi,nil
1760,minibus,nil
1760,tgv,nil
1760,ter,nil
1760,truck,nil
1760,taxi,nil
1761,minibus,nil
1761,tgv,nil
1761,ter,nil
1761,truck,nil
1761,taxi,nil
1762,minibus,nil
1762,tgv,nil
1762,ter,nil
1762,truck,nil
1762,taxi,nil
1763,minibus,nil
1763,tgv,nil
1763,ter,nil
1763,truck,nil
1763,taxi,nil
1764,minibus,nil
1764,tgv,nil
1764,ter,nil
1764,truck,nil
1764,taxi,nil
1765,minibus,nil
1765,tgv,nil
1765,ter,nil
1765,truck,nil
1765,taxi,nil
1766,minibus,nil
1766,tgv,nil
1766,ter,nil
1766,truck,nil
1766,taxi,nil
1767,minibus,nil
1767,tgv,nil
1767,ter,nil
1767,truck,nil
1767,taxi,nil
1768,minibus,nil
1768,tgv,nil
1768,ter,nil
1768,truck,nil
1768,taxi,nil
1769,minibus,nil
1769,tgv,nil
1769,ter,nil
1769,truck,nil
1769,taxi,nil
1770,minibus,nil
1770,tgv,nil
1770,ter,nil
1770,truck,nil
1770,taxi,nil
1771,minibus,nil
1771,tgv,nil
1771,ter,nil
1771,truck,nil
1771,taxi,nil
1772,minibus,nil
1772,tgv,nil
1772,ter,nil
1772,truck,nil
1772,taxi,nil
1773,minibus,nil
1773,tgv,nil
1773,ter,nil
1773,truck,nil
1773,taxi,nil
1774,minibus,nil
1774,tgv,nil
1774,ter,nil
1774,truck,nil
1774,taxi,nil
1775,minibus,nil
1775,tgv,nil
1775,ter,nil
1775,truck,nil
1775,taxi,nil
1776,minibus,nil
1776,tgv,nil
1776,ter,nil
1776,truck,nil
1776,taxi,nil
1777,minibus,nil
1777,tgv,nil
1777,ter,nil
1777,truck,nil
1777,taxi,nil
1778,minibus,nil
1778,tgv,nil
1778,ter,nil
1778,truck,nil
1778,taxi,nil
1779,minibus,nil
1779,tgv,nil
1779,ter,nil
1779,truck,nil
1779,taxi,nil
1780,minibus,nil
1780,tgv,nil
1780,ter,nil
1780,truck,nil
1780,taxi,nil
1781,minibus,nil
1781,tgv,nil
1781,ter,nil
1781,truck,nil
1781,taxi,nil
1782,minibus,nil
1782,tgv,nil
1782,ter,nil
1782,truck,nil
1782,taxi,nil
1783,minibus,nil
1783,tgv,nil
1783,ter,nil
1783,truck,nil
1783,taxi,nil
1784,minibus,nil
1784,tgv,nil
1784,ter,nil
1784,truck,nil
1784,taxi,nil
1785,minibus,nil
1785,tgv,nil
1785,ter,nil
1785,truck,nil
1785,taxi,nil
1786,minibus,nil
1786,tgv,nil
1786,ter,nil
1786,truck,nil
1786,taxi,nil
1787,minibus,nil
1787,tgv,nil
1787,ter,nil
1787,truck,nil
1787,taxi,nil
1788,minibus,nil
1788,tgv,nil
1788,ter,nil
1788,truck,nil
1788,taxi,nil
1789,minibus,nil
1789,tgv,nil
1789,ter,nil
1789,truck,nil
1789,taxi,nil
1790,minibus,nil
1790,tgv,nil
1790,ter,nil
1790,truck,nil
1790,taxi,nil
1791,minibus,nil
1791,tgv,nil
1791,ter,nil
1791,truck,nil
1791,taxi,nil
1792,minibus,nil
1792,tgv,nil
1792,ter,nil
1792,truck,nil
1792,taxi,nil
1793,minibus,nil
1793,tgv,nil
1793,ter,nil
1793,truck,nil
1793,taxi,nil
1794,minibus,nil
1794,tgv,nil
1794,ter,nil
1794,truck,nil
1794,taxi,nil
1795,minibus,nil
1795,tgv,nil
1795,ter,nil
1795,truck,nil
1795,taxi,nil
1796,minibus,nil
1796,tgv,nil
1796,ter,nil
1796,truck,nil
1796,taxi,nil
1797,minibus,nil
1797,tgv,nil
1797,ter,nil
1797,truck,nil
1797,taxi,nil
1798,minibus,nil
1798,tgv,nil
1798,ter,nil
1798,truck,nil
1798,taxi,nil
1799,minibus,nil
1799,tgv,nil
1799,ter,nil
1799,truck,nil
1799,taxi,nil
1800,minibus,nil
1800,tgv,nil
1800,ter,nil
1800,truck,nil
1800,taxi,nil
1801,minibus,nil
1801,tgv,nil
1801,ter,nil
1801,truck,nil
1801,taxi,nil
1802,minibus,nil
1802,tgv,nil
1802,ter,nil
1802,truck,nil
1802,taxi,nil
1803,minibus,nil
1803,tgv,nil
1803,ter,nil
1803,truck,nil
1803,taxi,nil
1804,minibus,nil
1804,tgv,nil
1804,ter,nil
1804,truck,nil
1804,taxi,nil
1805,minibus,nil
1805,tgv,nil
1805,ter,nil
1805,truck,nil
1805,taxi,nil
1806,minibus,nil
1806,tgv,nil
1806,ter,nil
1806,truck,nil
1806,taxi,nil
1807,minibus,nil
1807,tgv,nil
1807,ter,nil
1807,truck,nil
1807,taxi,nil
1808,minibus,nil
