cycle,mode,tick_short_tripsmode
93,trip_bike,nil
93,trip_walking,nil
94,trip_minibus,nil
94,trip_bike,nil
94,trip_walking,nil
95,trip_minibus,nil
95,trip_bike,nil
95,trip_walking,nil
96,trip_minibus,nil
96,trip_bike,nil
96,trip_walking,nil
97,trip_minibus,nil
97,trip_bike,nil
97,trip_walking,nil
98,trip_minibus,nil
98,trip_bike,nil
98,trip_walking,nil
99,trip_minibus,nil
99,trip_bike,nil
99,trip_walking,nil
100,trip_minibus,nil
100,trip_bike,nil
100,trip_walking,nil
101,trip_minibus,nil
101,trip_bike,nil
101,trip_walking,nil
102,trip_minibus,nil
102,trip_bike,nil
102,trip_walking,nil
103,trip_minibus,nil
103,trip_bike,nil
103,trip_walking,nil
104,trip_minibus,nil
104,trip_bike,nil
104,trip_walking,nil
105,trip_minibus,nil
105,trip_bike,nil
105,trip_walking,nil
106,trip_minibus,nil
106,trip_bike,nil
106,trip_walking,nil
107,trip_minibus,nil
107,trip_bike,nil
107,trip_walking,nil
108,trip_minibus,nil
108,trip_bike,nil
108,trip_walking,nil
109,trip_minibus,nil
109,trip_bike,nil
109,trip_walking,nil
110,trip_minibus,nil
110,trip_bike,nil
110,trip_walking,nil
111,trip_minibus,nil
111,trip_bike,nil
111,trip_walking,nil
112,trip_minibus,nil
112,trip_bike,nil
112,trip_walking,nil
113,trip_minibus,nil
113,trip_bike,nil
113,trip_walking,nil
114,trip_minibus,nil
114,trip_bike,nil
114,trip_walking,nil
115,trip_minibus,nil
115,trip_bike,nil
115,trip_walking,nil
116,trip_minibus,nil
116,trip_bike,nil
116,trip_walking,nil
117,trip_minibus,nil
117,trip_bike,nil
117,trip_walking,nil
118,trip_minibus,nil
118,trip_bike,nil
118,trip_walking,nil
119,trip_minibus,nil
119,trip_bike,nil
119,trip_walking,nil
120,trip_minibus,nil
120,trip_bike,nil
120,trip_walking,nil
121,trip_minibus,nil
121,trip_bike,nil
121,trip_walking,nil
122,trip_minibus,nil
122,trip_bike,nil
122,trip_walking,nil
123,trip_minibus,nil
123,trip_bike,nil
123,trip_walking,nil
124,trip_minibus,nil
124,trip_bike,nil
124,trip_walking,nil
125,trip_minibus,nil
125,trip_bike,nil
125,trip_walking,nil
126,trip_minibus,nil
126,trip_bike,nil
126,trip_walking,nil
127,trip_minibus,nil
127,trip_bike,nil
127,trip_walking,nil
128,trip_minibus,nil
128,trip_bike,nil
128,trip_walking,nil
129,trip_minibus,nil
129,trip_bike,nil
129,trip_walking,nil
130,trip_minibus,nil
130,trip_bike,nil
130,trip_walking,nil
131,trip_minibus,nil
131,trip_bike,nil
131,trip_walking,nil
132,trip_minibus,nil
132,trip_bike,nil
132,trip_walking,nil
133,trip_minibus,nil
133,trip_bike,nil
133,trip_walking,nil
134,trip_minibus,nil
134,trip_bike,nil
134,trip_walking,nil
135,trip_minibus,nil
135,trip_bike,nil
135,trip_walking,nil
136,trip_minibus,nil
136,trip_bike,nil
136,trip_walking,nil
137,trip_minibus,nil
137,trip_bike,nil
137,trip_walking,nil
138,trip_minibus,nil
138,trip_bike,nil
138,trip_walking,nil
139,trip_minibus,nil
139,trip_bike,nil
139,trip_walking,nil
140,trip_minibus,nil
140,trip_bike,nil
140,trip_walking,nil
141,trip_minibus,nil
141,trip_bike,nil
141,trip_walking,nil
142,trip_minibus,nil
142,trip_bike,nil
142,trip_walking,nil
143,trip_minibus,nil
143,trip_bike,nil
143,trip_walking,nil
144,trip_minibus,nil
144,trip_bike,nil
144,trip_walking,nil
145,trip_minibus,nil
145,trip_bike,nil
145,trip_walking,nil
146,trip_minibus,nil
146,trip_bike,nil
146,trip_walking,nil
147,trip_minibus,nil
147,trip_bike,nil
147,trip_walking,nil
148,trip_minibus,nil
148,trip_bike,nil
148,trip_walking,nil
149,trip_minibus,nil
149,trip_bike,nil
149,trip_walking,nil
150,trip_minibus,nil
150,trip_bike,nil
150,trip_walking,nil
151,trip_minibus,nil
151,trip_bike,nil
151,trip_walking,nil
152,trip_minibus,nil
152,trip_bike,nil
152,trip_walking,nil
153,trip_minibus,nil
153,trip_bike,nil
153,trip_walking,nil
154,trip_minibus,nil
154,trip_bike,nil
154,trip_walking,nil
155,trip_minibus,nil
155,trip_bike,nil
155,trip_walking,nil
156,trip_minibus,nil
156,trip_bike,nil
156,trip_walking,nil
157,trip_minibus,nil
157,trip_bike,nil
157,trip_walking,nil
158,trip_minibus,nil
158,trip_bike,nil
158,trip_walking,nil
159,trip_minibus,nil
159,trip_bike,nil
159,trip_walking,nil
160,trip_minibus,nil
160,trip_bike,nil
160,trip_walking,nil
161,trip_minibus,nil
161,trip_bike,nil
161,trip_walking,nil
162,trip_minibus,nil
162,trip_bike,nil
162,trip_walking,nil
163,trip_minibus,nil
163,trip_bike,nil
163,trip_walking,nil
164,trip_minibus,nil
164,trip_bike,nil
164,trip_walking,nil
165,trip_minibus,nil
165,trip_bike,nil
165,trip_walking,nil
166,trip_minibus,nil
166,trip_bike,nil
166,trip_walking,nil
167,trip_minibus,nil
167,trip_bike,nil
167,trip_walking,nil
168,trip_minibus,nil
168,trip_bike,nil
168,trip_walking,nil
169,trip_minibus,nil
169,trip_bike,nil
169,trip_walking,nil
170,trip_minibus,nil
170,trip_bike,nil
170,trip_walking,nil
171,trip_minibus,nil
171,trip_bike,nil
171,trip_walking,nil
172,trip_minibus,nil
172,trip_bike,nil
172,trip_walking,nil
173,trip_minibus,nil
173,trip_bike,nil
173,trip_walking,nil
174,trip_minibus,nil
174,trip_bike,nil
174,trip_walking,nil
175,trip_minibus,nil
175,trip_bike,nil
175,trip_walking,nil
176,trip_minibus,nil
176,trip_bike,nil
176,trip_walking,nil
177,trip_minibus,nil
177,trip_bike,nil
177,trip_walking,nil
178,trip_minibus,nil
178,trip_bike,nil
178,trip_walking,nil
179,trip_minibus,nil
179,trip_bike,nil
179,trip_walking,nil
180,trip_minibus,nil
180,trip_bike,nil
180,trip_walking,nil
181,trip_minibus,nil
181,trip_bike,nil
181,trip_walking,nil
182,trip_minibus,nil
182,trip_bike,nil
182,trip_walking,nil
183,trip_minibus,nil
183,trip_bike,nil
183,trip_walking,nil
184,trip_minibus,nil
184,trip_bike,nil
184,trip_walking,nil
185,trip_minibus,nil
185,trip_bike,nil
185,trip_walking,nil
186,trip_minibus,nil
186,trip_bike,nil
186,trip_walking,nil
187,trip_minibus,nil
187,trip_bike,nil
187,trip_walking,nil
188,trip_minibus,nil
188,trip_bike,nil
188,trip_walking,nil
189,trip_minibus,nil
189,trip_bike,nil
189,trip_walking,nil
190,trip_minibus,nil
190,trip_bike,nil
190,trip_walking,nil
191,trip_minibus,nil
191,trip_bike,nil
191,trip_walking,nil
192,trip_minibus,nil
192,trip_bike,nil
192,trip_walking,nil
193,trip_minibus,nil
193,trip_bike,nil
193,trip_walking,nil
194,trip_minibus,nil
194,trip_bike,nil
194,trip_walking,nil
195,trip_minibus,nil
195,trip_bike,nil
195,trip_walking,nil
196,trip_minibus,nil
196,trip_bike,nil
196,trip_walking,nil
197,trip_minibus,nil
197,trip_bike,nil
197,trip_walking,nil
198,trip_minibus,nil
198,trip_bike,nil
198,trip_walking,nil
199,trip_minibus,nil
199,trip_bike,nil
199,trip_walking,nil
200,trip_minibus,nil
200,trip_bike,nil
200,trip_walking,nil
201,trip_minibus,nil
201,trip_bike,nil
201,trip_walking,nil
202,trip_minibus,nil
202,trip_bike,nil
202,trip_walking,nil
203,trip_minibus,nil
203,trip_bike,nil
203,trip_walking,nil
204,trip_minibus,nil
204,trip_bike,nil
204,trip_walking,nil
205,trip_minibus,nil
205,trip_bike,nil
205,trip_walking,nil
206,trip_minibus,nil
206,trip_bike,nil
206,trip_walking,nil
207,trip_minibus,nil
207,trip_bike,nil
207,trip_walking,nil
208,trip_minibus,nil
208,trip_bike,nil
208,trip_walking,nil
209,trip_minibus,nil
209,trip_bike,nil
209,trip_walking,nil
210,trip_minibus,nil
210,trip_bike,nil
210,trip_walking,nil
211,trip_minibus,nil
211,trip_bike,nil
211,trip_walking,nil
212,trip_minibus,nil
212,trip_bike,nil
212,trip_walking,nil
213,trip_minibus,nil
213,trip_bike,nil
213,trip_walking,nil
214,trip_minibus,nil
214,trip_bike,nil
214,trip_walking,nil
215,trip_minibus,nil
215,trip_bike,nil
215,trip_walking,nil
216,trip_minibus,nil
216,trip_bike,nil
216,trip_walking,nil
217,trip_minibus,nil
217,trip_bike,nil
217,trip_walking,nil
218,trip_minibus,nil
218,trip_bike,nil
218,trip_walking,nil
219,trip_minibus,nil
219,trip_bike,nil
219,trip_walking,nil
220,trip_minibus,nil
220,trip_bike,nil
220,trip_walking,nil
221,trip_minibus,nil
221,trip_bike,nil
221,trip_walking,nil
222,trip_minibus,nil
222,trip_bike,nil
222,trip_walking,nil
223,trip_minibus,nil
223,trip_bike,nil
223,trip_walking,nil
224,trip_minibus,nil
224,trip_bike,nil
224,trip_walking,nil
225,trip_minibus,nil
225,trip_bike,nil
225,trip_walking,nil
226,trip_minibus,nil
226,trip_bike,nil
226,trip_walking,nil
227,trip_minibus,nil
227,trip_bike,nil
227,trip_walking,nil
228,trip_minibus,nil
228,trip_bike,nil
228,trip_walking,nil
229,trip_minibus,nil
229,trip_bike,nil
229,trip_walking,nil
230,trip_minibus,nil
230,trip_bike,nil
230,trip_walking,nil
231,trip_minibus,nil
231,trip_bike,nil
231,trip_walking,nil
232,trip_minibus,nil
232,trip_bike,nil
232,trip_walking,nil
233,trip_minibus,nil
233,trip_bike,nil
233,trip_walking,nil
234,trip_minibus,nil
234,trip_bike,nil
234,trip_walking,nil
235,trip_minibus,nil
235,trip_bike,nil
235,trip_walking,nil
236,trip_minibus,nil
236,trip_bike,nil
236,trip_walking,nil
237,trip_minibus,nil
237,trip_bike,nil
237,trip_walking,nil
238,trip_minibus,nil
238,trip_bike,nil
238,trip_walking,nil
239,trip_minibus,nil
239,trip_bike,nil
239,trip_walking,nil
240,trip_minibus,nil
240,trip_bike,nil
240,trip_walking,nil
241,trip_minibus,nil
241,trip_bike,nil
241,trip_walking,nil
242,trip_minibus,nil
242,trip_bike,nil
242,trip_walking,nil
243,trip_minibus,nil
243,trip_bike,nil
243,trip_walking,nil
244,trip_minibus,nil
244,trip_bike,nil
244,trip_walking,nil
245,trip_minibus,nil
245,trip_bike,nil
245,trip_walking,nil
246,trip_minibus,nil
246,trip_bike,nil
246,trip_walking,nil
247,trip_minibus,nil
247,trip_bike,nil
247,trip_walking,nil
248,trip_minibus,nil
248,trip_bike,nil
248,trip_walking,nil
249,trip_minibus,nil
249,trip_bike,nil
249,trip_walking,nil
250,trip_minibus,nil
250,trip_bike,nil
250,trip_walking,nil
251,trip_minibus,nil
251,trip_bike,nil
