cycle,o,tick_consumption_Uo
39,school,0.2
40,modular house,0.5
40,modular house extension,nil
40,wooden house,0.2
40,plastic factory,0.1
40,company,0.1
40,leisure,0.1
40,school,0.2
41,modular house,0.5
41,modular house extension,nil
41,wooden house,0.2
41,plastic factory,0.1
41,company,0.1
41,leisure,0.1
41,school,0.2
42,modular house,0.5
42,modular house extension,nil
42,wooden house,0.2
42,plastic factory,0.1
42,company,0.1
42,leisure,0.1
42,school,0.2
43,modular house,0.5
43,modular house extension,nil
43,wooden house,0.2
43,plastic factory,0.1
43,company,0.1
43,leisure,0.1
43,school,0.2
44,modular house,0.5
44,modular house extension,nil
44,wooden house,0.2
44,plastic factory,0.1
44,company,0.1
44,leisure,0.1
44,school,0.2
45,modular house,0.5
45,modular house extension,nil
45,wooden house,0.2
45,plastic factory,0.1
45,company,0.1
45,leisure,0.1
45,school,0.2
46,modular house,0.5
46,modular house extension,nil
46,wooden house,0.2
46,plastic factory,0.1
46,company,0.1
46,leisure,0.1
46,school,0.2
47,modular house,0.5
47,modular house extension,nil
47,wooden house,0.2
47,plastic factory,0.1
47,company,0.1
47,leisure,0.1
47,school,0.2
48,modular house,0.5
48,modular house extension,nil
48,wooden house,0.2
48,plastic factory,0.1
48,company,0.1
48,leisure,0.1
48,school,0.2
49,modular house,0.5
49,modular house extension,nil
49,wooden house,0.2
49,plastic factory,0.1
49,company,0.1
49,leisure,0.1
49,school,0.2
50,modular house,0.5
50,modular house extension,nil
50,wooden house,0.2
50,plastic factory,0.1
50,company,0.1
50,leisure,0.1
50,school,0.2
51,modular house,0.5
51,modular house extension,nil
51,wooden house,0.2
51,plastic factory,0.1
51,company,0.1
51,leisure,0.1
51,school,0.2
52,modular house,0.5
52,modular house extension,nil
52,wooden house,0.2
52,plastic factory,0.1
52,company,0.1
52,leisure,0.1
52,school,0.2
53,modular house,0.5
53,modular house extension,nil
53,wooden house,0.2
53,plastic factory,0.1
53,company,0.1
53,leisure,0.1
53,school,0.2
54,modular house,0.5
54,modular house extension,nil
54,wooden house,0.2
54,plastic factory,0.1
54,company,0.1
54,leisure,0.1
54,school,0.2
55,modular house,0.5
55,modular house extension,nil
55,wooden house,0.2
55,plastic factory,0.1
55,company,0.1
55,leisure,0.1
55,school,0.2
56,modular house,0.5
56,modular house extension,nil
56,wooden house,0.2
56,plastic factory,0.1
56,company,0.1
56,leisure,0.1
56,school,0.2
57,modular house,0.5
57,modular house extension,nil
57,wooden house,0.2
57,plastic factory,0.1
57,company,0.1
57,leisure,0.1
57,school,0.2
58,modular house,0.5
58,modular house extension,nil
58,wooden house,0.2
58,plastic factory,0.1
58,company,0.1
58,leisure,0.1
58,school,0.2
59,modular house,0.5
59,modular house extension,nil
59,wooden house,0.2
59,plastic factory,0.1
59,company,0.1
59,leisure,0.1
59,school,0.2
60,modular house,0.5
60,modular house extension,nil
60,wooden house,0.2
60,plastic factory,0.1
60,company,0.1
60,leisure,0.1
60,school,0.2
61,modular house,0.5
61,modular house extension,nil
61,wooden house,0.2
61,plastic factory,0.1
61,company,0.1
61,leisure,0.1
61,school,0.2
62,modular house,0.5
62,modular house extension,nil
62,wooden house,0.2
62,plastic factory,0.1
62,company,0.1
62,leisure,0.1
62,school,0.2
63,modular house,0.5
63,modular house extension,nil
63,wooden house,0.2
63,plastic factory,0.1
63,company,0.1
63,leisure,0.1
63,school,0.2
