cycle,o,tick_consumption_Uo
196,school,0.2
197,modular house,0.2
197,modular house extension,nil
197,wooden house,0.2
197,plastic factory,0.2
197,company,0.2
197,leisure,0.2
197,school,0.2
198,modular house,0.2
198,modular house extension,nil
198,wooden house,0.2
198,plastic factory,0.2
198,company,0.2
198,leisure,0.2
198,school,0.2
199,modular house,0.2
199,modular house extension,nil
199,wooden house,0.2
199,plastic factory,0.2
199,company,0.2
199,leisure,0.2
199,school,0.2
200,modular house,0.2
200,modular house extension,nil
200,wooden house,0.2
200,plastic factory,0.2
200,company,0.2
200,leisure,0.2
200,school,0.2
201,modular house,0.2
201,modular house extension,nil
201,wooden house,0.2
201,plastic factory,0.2
201,company,0.2
201,leisure,0.2
201,school,0.2
202,modular house,0.2
202,modular house extension,nil
202,wooden house,0.2
202,plastic factory,0.2
202,company,0.2
202,leisure,0.2
202,school,0.2
203,modular house,0.2
203,modular house extension,nil
203,wooden house,0.2
203,plastic factory,0.2
203,company,0.2
203,leisure,0.2
203,school,0.2
204,modular house,0.2
204,modular house extension,nil
204,wooden house,0.2
204,plastic factory,0.2
204,company,0.2
204,leisure,0.2
204,school,0.2
205,modular house,0.2
205,modular house extension,nil
205,wooden house,0.2
205,plastic factory,0.2
205,company,0.2
205,leisure,0.2
205,school,0.2
206,modular house,0.2
206,modular house extension,nil
206,wooden house,0.2
206,plastic factory,0.2
206,company,0.2
206,leisure,0.2
206,school,0.2
207,modular house,0.2
207,modular house extension,nil
207,wooden house,0.2
207,plastic factory,0.2
207,company,0.2
207,leisure,0.2
207,school,0.2
208,modular house,0.2
208,modular house extension,nil
208,wooden house,0.2
208,plastic factory,0.2
208,company,0.2
208,leisure,0.2
208,school,0.2
209,modular house,0.2
209,modular house extension,nil
209,wooden house,0.2
209,plastic factory,0.2
209,company,0.2
209,leisure,0.2
209,school,0.2
210,modular house,0.2
210,modular house extension,nil
210,wooden house,0.2
210,plastic factory,0.2
210,company,0.2
210,leisure,0.2
210,school,0.2
211,modular house,0.2
211,modular house extension,nil
211,wooden house,0.2
211,plastic factory,0.2
211,company,0.2
211,leisure,0.2
211,school,0.2
212,modular house,0.2
212,modular house extension,nil
212,wooden house,0.2
212,plastic factory,0.2
212,company,0.2
212,leisure,0.2
212,school,0.2
213,modular house,0.2
213,modular house extension,nil
213,wooden house,0.2
213,plastic factory,0.2
213,company,0.2
213,leisure,0.2
213,school,0.2
214,modular house,0.2
214,modular house extension,nil
214,wooden house,0.2
214,plastic factory,0.2
214,company,0.2
214,leisure,0.2
214,school,0.2
215,modular house,0.2
215,modular house extension,nil
215,wooden house,0.2
215,plastic factory,0.2
215,company,0.2
215,leisure,0.2
215,school,0.2
216,modular house,0.2
216,modular house extension,nil
216,wooden house,0.2
216,plastic factory,0.2
216,company,0.2
216,leisure,0.2
216,school,0.2
217,modular house,0.2
217,modular house extension,nil
217,wooden house,0.2
217,plastic factory,0.2
217,company,0.2
217,leisure,0.2
217,school,0.2
218,modular house,0.2
218,modular house extension,nil
218,wooden house,0.2
218,plastic factory,0.2
218,company,0.2
218,leisure,0.2
218,school,0.2
219,modular house,0.2
219,modular house extension,nil
219,wooden house,0.2
219,plastic factory,0.2
219,company,0.2
219,leisure,0.2
219,school,0.2
220,modular house,0.2
220,modular house extension,nil
220,wooden house,0.2
220,plastic factory,0.2
220,company,0.2
220,leisure,0.2
220,school,0.2
221,modular house,0.2
221,modular house extension,nil
221,wooden house,0.2
221,plastic factory,0.2
221,company,0.2
221,leisure,0.2
221,school,0.2
222,modular house,0.2
222,modular house extension,nil
222,wooden house,0.2
222,plastic factory,0.2
222,company,0.2
222,leisure,0.2
222,school,0.2
223,modular house,0.2
223,modular house extension,nil
223,wooden house,0.2
223,plastic factory,0.2
223,company,0.2
223,leisure,0.2
223,school,0.2
224,modular house,0.2
224,modular house extension,nil
224,wooden house,0.2
224,plastic factory,0.2
224,company,0.2
224,leisure,0.2
224,school,0.2
225,modular house,0.2
225,modular house extension,nil
225,wooden house,0.2
225,plastic factory,0.2
225,company,0.2
225,leisure,0.2
225,school,0.2
226,modular house,0.2
226,modular house extension,nil
226,wooden house,0.2
226,plastic factory,0.2
226,company,0.2
226,leisure,0.2
226,school,0.2
227,modular house,0.2
227,modular house extension,nil
227,wooden house,0.2
227,plastic factory,0.2
227,company,0.2
227,leisure,0.2
227,school,0.2
228,modular house,0.2
228,modular house extension,nil
228,wooden house,0.2
228,plastic factory,0.2
228,company,0.2
228,leisure,0.2
228,school,0.2
229,modular house,0.2
229,modular house extension,nil
229,wooden house,0.2
229,plastic factory,0.2
229,company,0.2
229,leisure,0.2
229,school,0.2
230,modular house,0.2
230,modular house extension,nil
230,wooden house,0.2
230,plastic factory,0.2
230,company,0.2
230,leisure,0.2
230,school,0.2
231,modular house,0.2
231,modular house extension,nil
231,wooden house,0.2
231,plastic factory,0.2
231,company,0.2
231,leisure,0.2
231,school,0.2
232,modular house,0.2
232,modular house extension,nil
232,wooden house,0.2
232,plastic factory,0.2
232,company,0.2
232,leisure,0.2
232,school,0.2
233,modular house,0.2
233,modular house extension,nil
233,wooden house,0.2
233,plastic factory,0.2
233,company,0.2
233,leisure,0.2
233,school,0.2
234,modular house,0.2
234,modular house extension,nil
234,wooden house,0.2
234,plastic factory,0.2
234,company,0.2
234,leisure,0.2
234,school,0.2
235,modular house,0.2
235,modular house extension,nil
235,wooden house,0.2
235,plastic factory,0.2
235,company,0.2
235,leisure,0.2
235,school,0.2
236,modular house,0.2
236,modular house extension,nil
236,wooden house,0.2
236,plastic factory,0.2
236,company,0.2
236,leisure,0.2
236,school,0.2
237,modular house,0.2
237,modular house extension,nil
237,wooden house,0.2
237,plastic factory,0.2
237,company,0.2
237,leisure,0.2
237,school,0.2
238,modular house,0.2
238,modular house extension,nil
238,wooden house,0.2
238,plastic factory,0.2
238,company,0.2
238,leisure,0.2
238,school,0.2
239,modular house,0.2
239,modular house extension,nil
239,wooden house,0.2
239,plastic factory,0.2
239,company,0.2
239,leisure,0.2
239,school,0.2
240,modular house,0.2
240,modular house extension,nil
240,wooden house,0.2
240,plastic factory,0.2
240,company,0.2
240,leisure,0.2
240,school,0.2
241,modular house,0.2
241,modular house extension,nil
241,wooden house,0.2
241,plastic factory,0.2
241,company,0.2
241,leisure,0.2
241,school,0.2
242,modular house,0.2
242,modular house extension,nil
242,wooden house,0.2
242,plastic factory,0.2
242,company,0.2
242,leisure,0.2
242,school,0.2
243,modular house,0.2
243,modular house extension,nil
243,wooden house,0.2
243,plastic factory,0.2
243,company,0.2
243,leisure,0.2
243,school,0.2
244,modular house,0.2
244,modular house extension,nil
244,wooden house,0.2
244,plastic factory,0.2
244,company,0.2
244,leisure,0.2
244,school,0.2
245,modular house,0.2
245,modular house extension,nil
245,wooden house,0.2
245,plastic factory,0.2
245,company,0.2
245,leisure,0.2
245,school,0.2
246,modular house,0.2
246,modular house extension,nil
246,wooden house,0.2
246,plastic factory,0.2
246,company,0.2
246,leisure,0.2
246,school,0.2
247,modular house,0.2
247,modular house extension,nil
247,wooden house,0.2
247,plastic factory,0.2
247,company,0.2
247,leisure,0.2
247,school,0.2
248,modular house,0.2
248,modular house extension,nil
248,wooden house,0.2
248,plastic factory,0.2
248,company,0.2
248,leisure,0.2
248,school,0.2
249,modular house,0.2
249,modular house extension,nil
249,wooden house,0.2
249,plastic factory,0.2
249,company,0.2
249,leisure,0.2
249,school,0.2
250,modular house,0.2
250,modular house extension,nil
250,wooden house,0.2
250,plastic factory,0.2
250,company,0.2
250,leisure,0.2
250,school,0.2
251,modular house,0.2
251,modular house extension,nil
251,wooden house,0.2
251,plastic factory,0.2
251,company,0.2
251,leisure,0.2
251,school,0.2
252,modular house,0.2
252,modular house extension,nil
252,wooden house,0.2
252,plastic factory,0.2
252,company,0.2
252,leisure,0.2
252,school,0.2
253,modular house,0.2
253,modular house extension,nil
253,wooden house,0.2
253,plastic factory,0.2
253,company,0.2
253,leisure,0.2
253,school,0.2
254,modular house,0.2
254,modular house extension,nil
254,wooden house,0.2
254,plastic factory,0.2
254,company,0.2
254,leisure,0.2
254,school,0.2
255,modular house,0.2
255,modular house extension,nil
255,wooden house,0.2
255,plastic factory,0.2
255,company,0.2
255,leisure,0.2
255,school,0.2
256,modular house,0.2
256,modular house extension,nil
256,wooden house,0.2
256,plastic factory,0.2
256,company,0.2
256,leisure,0.2
256,school,0.2
257,modular house,0.2
257,modular house extension,nil
257,wooden house,0.2
257,plastic factory,0.2
257,company,0.2
257,leisure,0.2
257,school,0.2
258,modular house,0.2
258,modular house extension,nil
258,wooden house,0.2
258,plastic factory,0.2
258,company,0.2
258,leisure,0.2
258,school,0.2
259,modular house,0.2
259,modular house extension,nil
259,wooden house,0.2
259,plastic factory,0.2
259,company,0.2
259,leisure,0.2
259,school,0.2
260,modular house,0.2
260,modular house extension,nil
260,wooden house,0.2
260,plastic factory,0.2
260,company,0.2
260,leisure,0.2
260,school,0.2
261,modular house,0.2
261,modular house extension,nil
261,wooden house,0.2
261,plastic factory,0.2
261,company,0.2
261,leisure,0.2
261,school,0.2
262,modular house,0.2
262,modular house extension,nil
262,wooden house,0.2
262,plastic factory,0.2
262,company,0.2
262,leisure,0.2
262,school,0.2
263,modular house,0.2
263,modular house extension,nil
263,wooden house,0.2
263,plastic factory,0.2
263,company,0.2
263,leisure,0.2
263,school,0.2
264,modular house,0.2
264,modular house extension,nil
264,wooden house,0.2
264,plastic factory,0.2
264,company,0.2
264,leisure,0.2
264,school,0.2
265,modular house,0.2
265,modular house extension,nil
265,wooden house,0.2
265,plastic factory,0.2
265,company,0.2
265,leisure,0.2
265,school,0.2
266,modular house,0.2
266,modular house extension,nil
266,wooden house,0.2
266,plastic factory,0.2
266,company,0.2
266,leisure,0.2
266,school,0.2
267,modular house,0.2
267,modular house extension,nil
267,wooden house,0.2
267,plastic factory,0.2
267,company,0.2
267,leisure,0.2
267,school,0.2
268,modular house,0.2
268,modular house extension,nil
268,wooden house,0.2
268,plastic factory,0.2
268,company,0.2
268,leisure,0.2
268,school,0.2
269,modular house,0.2
269,modular house extension,nil
269,wooden house,0.2
269,plastic factory,0.2
269,company,0.2
269,leisure,0.2
269,school,0.2
270,modular house,0.2
270,modular house extension,nil
270,wooden house,0.2
270,plastic factory,0.2
270,company,0.2
270,leisure,0.2
270,school,0.2
271,modular house,0.2
271,modular house extension,nil
271,wooden house,0.2
271,plastic factory,0.2
271,company,0.2
271,leisure,0.2
271,school,0.2
272,modular house,0.2
272,modular house extension,nil
272,wooden house,0.2
272,plastic factory,0.2
272,company,0.2
272,leisure,0.2
272,school,0.2
273,modular house,0.2
273,modular house extension,nil
273,wooden house,0.2
273,plastic factory,0.2
273,company,0.2
273,leisure,0.2
273,school,0.2
274,modular house,0.2
274,modular house extension,nil
274,wooden house,0.2
274,plastic factory,0.2
274,company,0.2
274,leisure,0.2
274,school,0.2
275,modular house,0.2
275,modular house extension,nil
275,wooden house,0.2
275,plastic factory,0.2
275,company,0.2
275,leisure,0.2
275,school,0.2
276,modular house,0.2
276,modular house extension,nil
276,wooden house,0.2
276,plastic factory,0.2
276,company,0.2
276,leisure,0.2
276,school,0.2
277,modular house,0.2
277,modular house extension,nil
277,wooden house,0.2
277,plastic factory,0.2
277,company,0.2
277,leisure,0.2
277,school,0.2
278,modular house,0.2
278,modular house extension,nil
278,wooden house,0.2
278,plastic factory,0.2
278,company,0.2
278,leisure,0.2
278,school,0.2
279,modular house,0.2
279,modular house extension,nil
279,wooden house,0.2
279,plastic factory,0.2
279,company,0.2
279,leisure,0.2
279,school,0.2
280,modular house,0.2
280,modular house extension,nil
280,wooden house,0.2
280,plastic factory,0.2
280,company,0.2
280,leisure,0.2
280,school,0.2
281,modular house,0.2
281,modular house extension,nil
281,wooden house,0.2
281,plastic factory,0.2
281,company,0.2
281,leisure,0.2
281,school,0.2
282,modular house,0.2
282,modular house extension,nil
282,wooden house,0.2
282,plastic factory,0.2
282,company,0.2
282,leisure,0.2
282,school,0.2
283,modular house,0.2
283,modular house extension,nil
283,wooden house,0.2
283,plastic factory,0.2
283,company,0.2
283,leisure,0.2
283,school,0.2
284,modular house,0.2
284,modular house extension,nil
284,wooden house,0.2
284,plastic factory,0.2
284,company,0.2
284,leisure,0.2
284,school,0.2
285,modular house,0.2
285,modular house extension,nil
285,wooden house,0.2
285,plastic factory,0.2
285,company,0.2
285,leisure,0.2
285,school,0.2
286,modular house,0.2
286,modular house extension,nil
286,wooden house,0.2
286,plastic factory,0.2
286,company,0.2
286,leisure,0.2
286,school,0.2
287,modular house,0.2
287,modular house extension,nil
287,wooden house,0.2
287,plastic factory,0.2
287,company,0.2
287,leisure,0.2
287,school,0.2
288,modular house,0.2
288,modular house extension,nil
288,wooden house,0.2
288,plastic factory,0.2
288,company,0.2
288,leisure,0.2
288,school,0.2
289,modular house,0.2
289,modular house extension,nil
289,wooden house,0.2
289,plastic factory,0.2
289,company,0.2
289,leisure,0.2
289,school,0.2
290,modular house,0.2
290,modular house extension,nil
290,wooden house,0.2
290,plastic factory,0.2
290,company,0.2
290,leisure,0.2
290,school,0.2
291,modular house,0.2
291,modular house extension,nil
291,wooden house,0.2
291,plastic factory,0.2
291,company,0.2
291,leisure,0.2
291,school,0.2
292,modular house,0.2
292,modular house extension,nil
292,wooden house,0.2
292,plastic factory,0.2
292,company,0.2
292,leisure,0.2
292,school,0.2
293,modular house,0.2
293,modular house extension,nil
293,wooden house,0.2
293,plastic factory,0.2
293,company,0.2
293,leisure,0.2
293,school,0.2
294,modular house,0.2
294,modular house extension,nil
294,wooden house,0.2
294,plastic factory,0.2
294,company,0.2
294,leisure,0.2
294,school,0.2
295,modular house,0.2
295,modular house extension,nil
295,wooden house,0.2
295,plastic factory,0.2
295,company,0.2
295,leisure,0.2
295,school,0.2
296,modular house,0.2
296,modular house extension,nil
296,wooden house,0.2
296,plastic factory,0.2
296,company,0.2
296,leisure,0.2
296,school,0.2
297,modular house,0.2
297,modular house extension,nil
297,wooden house,0.2
297,plastic factory,0.2
297,company,0.2
297,leisure,0.2
297,school,0.2
298,modular house,0.2
298,modular house extension,nil
298,wooden house,0.2
298,plastic factory,0.2
298,company,0.2
298,leisure,0.2
298,school,0.2
299,modular house,0.2
299,modular house extension,nil
299,wooden house,0.2
299,plastic factory,0.2
299,company,0.2
299,leisure,0.2
299,school,0.2
300,modular house,0.2
300,modular house extension,nil
300,wooden house,0.2
300,plastic factory,0.2
300,company,0.2
300,leisure,0.2
300,school,0.2
301,modular house,0.2
301,modular house extension,nil
301,wooden house,0.2
301,plastic factory,0.2
301,company,0.2
301,leisure,0.2
301,school,0.2
302,modular house,0.2
302,modular house extension,nil
302,wooden house,0.2
302,plastic factory,0.2
302,company,0.2
302,leisure,0.2
302,school,0.2
303,modular house,0.2
303,modular house extension,nil
303,wooden house,0.2
303,plastic factory,0.2
303,company,0.2
303,leisure,0.2
303,school,0.2
304,modular house,0.2
304,modular house extension,nil
304,wooden house,0.2
304,plastic factory,0.2
304,company,0.2
304,leisure,0.2
304,school,0.2
305,modular house,0.2
305,modular house extension,nil
305,wooden house,0.2
305,plastic factory,0.2
305,company,0.2
305,leisure,0.2
305,school,0.2
306,modular house,0.2
306,modular house extension,nil
306,wooden house,0.2
306,plastic factory,0.2
306,company,0.2
306,leisure,0.2
306,school,0.2
307,modular house,0.2
307,modular house extension,nil
307,wooden house,0.2
307,plastic factory,0.2
307,company,0.2
307,leisure,0.2
307,school,0.2
308,modular house,0.2
308,modular house extension,nil
308,wooden house,0.2
308,plastic factory,0.2
308,company,0.2
308,leisure,0.2
308,school,0.2
309,modular house,0.2
309,modular house extension,nil
309,wooden house,0.2
309,plastic factory,0.2
309,company,0.2
309,leisure,0.2
309,school,0.2
310,modular house,0.2
310,modular house extension,nil
310,wooden house,0.2
310,plastic factory,0.2
310,company,0.2
310,leisure,0.2
310,school,0.2
311,modular house,0.2
311,modular house extension,nil
311,wooden house,0.2
311,plastic factory,0.2
311,company,0.2
311,leisure,0.2
311,school,0.2
312,modular house,0.2
312,modular house extension,nil
312,wooden house,0.2
312,plastic factory,0.2
312,company,0.2
312,leisure,0.2
312,school,0.2
313,modular house,0.2
313,modular house extension,nil
313,wooden house,0.2
313,plastic factory,0.2
313,company,0.2
313,leisure,0.2
313,school,0.2
314,modular house,0.2
314,modular house extension,nil
314,wooden house,0.2
314,plastic factory,0.2
314,company,0.2
314,leisure,0.2
314,school,0.2
315,modular house,0.2
315,modular house extension,nil
315,wooden house,0.2
315,plastic factory,0.2
315,company,0.2
315,leisure,0.2
315,school,0.2
316,modular house,0.2
316,modular house extension,nil
316,wooden house,0.2
316,plastic factory,0.2
316,company,0.2
316,leisure,0.2
316,school,0.2
317,modular house,0.2
317,modular house extension,nil
317,wooden house,0.2
317,plastic factory,0.2
317,company,0.2
317,leisure,0.2
317,school,0.2
318,modular house,0.2
318,modular house extension,nil
318,wooden house,0.2
318,plastic factory,0.2
318,company,0.2
318,leisure,0.2
318,school,0.2
319,modular house,0.2
319,modular house extension,nil
319,wooden house,0.2
319,plastic factory,0.2
319,company,0.2
319,leisure,0.2
319,school,0.2
320,modular house,0.2
320,modular house extension,nil
320,wooden house,0.2
320,plastic factory,0.2
320,company,0.2
320,leisure,0.2
320,school,0.2
321,modular house,0.2
321,modular house extension,nil
321,wooden house,0.2
321,plastic factory,0.2
321,company,0.2
321,leisure,0.2
321,school,0.2
322,modular house,0.2
322,modular house extension,nil
322,wooden house,0.2
322,plastic factory,0.2
322,company,0.2
322,leisure,0.2
322,school,0.2
323,modular house,0.2
323,modular house extension,nil
323,wooden house,0.2
323,plastic factory,0.2
323,company,0.2
323,leisure,0.2
323,school,0.2
324,modular house,0.2
324,modular house extension,nil
324,wooden house,0.2
324,plastic factory,0.2
324,company,0.2
324,leisure,0.2
324,school,0.2
325,modular house,0.2
325,modular house extension,nil
325,wooden house,0.2
325,plastic factory,0.2
325,company,0.2
325,leisure,0.2
325,school,0.2
326,modular house,0.2
326,modular house extension,nil
326,wooden house,0.2
326,plastic factory,0.2
326,company,0.2
326,leisure,0.2
326,school,0.2
327,modular house,0.2
327,modular house extension,nil
327,wooden house,0.2
327,plastic factory,0.2
327,company,0.2
327,leisure,0.2
327,school,0.2
328,modular house,0.2
328,modular house extension,nil
328,wooden house,0.2
328,plastic factory,0.2
328,company,0.2
328,leisure,0.2
328,school,0.2
329,modular house,0.2
329,modular house extension,nil
329,wooden house,0.2
329,plastic factory,0.2
329,company,0.2
329,leisure,0.2
329,school,0.2
330,modular house,0.2
330,modular house extension,nil
330,wooden house,0.2
330,plastic factory,0.2
330,company,0.2
330,leisure,0.2
330,school,0.2
331,modular house,0.2
331,modular house extension,nil
331,wooden house,0.2
331,plastic factory,0.2
331,company,0.2
331,leisure,0.2
331,school,0.2
332,modular house,0.2
332,modular house extension,nil
332,wooden house,0.2
332,plastic factory,0.2
332,company,0.2
332,leisure,0.2
332,school,0.2
333,modular house,0.2
333,modular house extension,nil
333,wooden house,0.2
333,plastic factory,0.2
333,company,0.2
333,leisure,0.2
333,school,0.2
334,modular house,0.2
334,modular house extension,nil
334,wooden house,0.2
334,plastic factory,0.2
334,company,0.2
334,leisure,0.2
334,school,0.2
335,modular house,0.2
335,modular house extension,nil
335,wooden house,0.2
335,plastic factory,0.2
335,company,0.2
335,leisure,0.2
335,school,0.2
336,modular house,0.2
336,modular house extension,nil
336,wooden house,0.2
336,plastic factory,0.2
336,company,0.2
336,leisure,0.2
336,school,0.2
337,modular house,0.2
337,modular house extension,nil
337,wooden house,0.2
337,plastic factory,0.2
337,company,0.2
337,leisure,0.2
337,school,0.2
338,modular house,0.2
338,modular house extension,nil
338,wooden house,0.2
338,plastic factory,0.2
338,company,0.2
338,leisure,0.2
338,school,0.2
339,modular house,0.2
339,modular house extension,nil
339,wooden house,0.2
339,plastic factory,0.2
339,company,0.2
339,leisure,0.2
339,school,0.2
340,modular house,0.2
340,modular house extension,nil
340,wooden house,0.2
340,plastic factory,0.2
340,company,0.2
340,leisure,0.2
340,school,0.2
341,modular house,0.2
341,modular house extension,nil
341,wooden house,0.2
341,plastic factory,0.2
341,company,0.2
341,leisure,0.2
341,school,0.2
342,modular house,0.2
342,modular house extension,nil
342,wooden house,0.2
342,plastic factory,0.2
342,company,0.2
342,leisure,0.2
342,school,0.2
343,modular house,0.2
343,modular house extension,nil
343,wooden house,0.2
343,plastic factory,0.2
343,company,0.2
343,leisure,0.2
343,school,0.2
344,modular house,0.2
344,modular house extension,nil
344,wooden house,0.2
344,plastic factory,0.2
344,company,0.2
344,leisure,0.2
344,school,0.2
345,modular house,0.2
345,modular house extension,nil
345,wooden house,0.2
345,plastic factory,0.2
345,company,0.2
345,leisure,0.2
345,school,0.2
346,modular house,0.2
346,modular house extension,nil
346,wooden house,0.2
346,plastic factory,0.2
346,company,0.2
346,leisure,0.2
346,school,0.2
347,modular house,0.2
347,modular house extension,nil
347,wooden house,0.2
347,plastic factory,0.2
347,company,0.2
347,leisure,0.2
347,school,0.2
348,modular house,0.2
348,modular house extension,nil
348,wooden house,0.2
348,plastic factory,0.2
348,company,0.2
348,leisure,0.2
348,school,0.2
349,modular house,0.2
349,modular house extension,nil
349,wooden house,0.2
349,plastic factory,0.2
349,company,0.2
349,leisure,0.2
349,school,0.2
350,modular house,0.2
350,modular house extension,nil
350,wooden house,0.2
350,plastic factory,0.2
350,company,0.2
350,leisure,0.2
350,school,0.2
351,modular house,0.2
351,modular house extension,nil
351,wooden house,0.2
351,plastic factory,0.2
351,company,0.2
351,leisure,0.2
351,school,0.2
352,modular house,0.2
352,modular house extension,nil
352,wooden house,0.2
352,plastic factory,0.2
352,company,0.2
352,leisure,0.2
352,school,0.2
353,modular house,0.2
353,modular house extension,nil
353,wooden house,0.2
353,plastic factory,0.2
353,company,0.2
353,leisure,0.2
353,school,0.2
354,modular house,0.2
354,modular house extension,nil
354,wooden house,0.2
354,plastic factory,0.2
354,company,0.2
354,leisure,0.2
354,school,0.2
355,modular house,0.2
355,modular house extension,nil
355,wooden house,0.2
355,plastic factory,0.2
355,company,0.2
355,leisure,0.2
355,school,0.2
356,modular house,0.2
356,modular house extension,nil
356,wooden house,0.2
356,plastic factory,0.2
356,company,0.2
356,leisure,0.2
356,school,0.2
357,modular house,0.2
357,modular house extension,nil
357,wooden house,0.2
357,plastic factory,0.2
357,company,0.2
357,leisure,0.2
357,school,0.2
358,modular house,0.2
358,modular house extension,nil
358,wooden house,0.2
358,plastic factory,0.2
358,company,0.2
358,leisure,0.2
358,school,0.2
359,modular house,0.2
359,modular house extension,nil
359,wooden house,0.2
359,plastic factory,0.2
359,company,0.2
359,leisure,0.2
359,school,0.2
360,modular house,0.2
360,modular house extension,nil
360,wooden house,0.2
360,plastic factory,0.2
360,company,0.2
360,leisure,0.2
360,school,0.2
361,modular house,0.2
361,modular house extension,nil
361,wooden house,0.2
361,plastic factory,0.2
361,company,0.2
361,leisure,0.2
361,school,0.2
362,modular house,0.2
362,modular house extension,nil
362,wooden house,0.2
362,plastic factory,0.2
362,company,0.2
362,leisure,0.2
362,school,0.2
363,modular house,0.2
363,modular house extension,nil
363,wooden house,0.2
363,plastic factory,0.2
363,company,0.2
363,leisure,0.2
363,school,0.2
364,modular house,0.2
364,modular house extension,nil
364,wooden house,0.2
364,plastic factory,0.2
364,company,0.2
364,leisure,0.2
364,school,0.2
365,modular house,0.2
365,modular house extension,nil
365,wooden house,0.2
365,plastic factory,0.2
365,company,0.2
365,leisure,0.2
365,school,0.2
366,modular house,0.2
366,modular house extension,nil
366,wooden house,0.2
366,plastic factory,0.2
366,company,0.2
366,leisure,0.2
366,school,0.2
367,modular house,0.2
367,modular house extension,nil
367,wooden house,0.2
367,plastic factory,0.2
367,company,0.2
367,leisure,0.2
367,school,0.2
368,modular house,0.2
368,modular house extension,nil
368,wooden house,0.2
368,plastic factory,0.2
368,company,0.2
368,leisure,0.2
368,school,0.2
369,modular house,0.2
369,modular house extension,nil
369,wooden house,0.2
369,plastic factory,0.2
369,company,0.2
369,leisure,0.2
369,school,0.2
370,modular house,0.2
370,modular house extension,nil
370,wooden house,0.2
370,plastic factory,0.2
370,company,0.2
370,leisure,0.2
370,school,0.2
371,modular house,0.2
371,modular house extension,nil
371,wooden house,0.2
371,plastic factory,0.2
371,company,0.2
371,leisure,0.2
371,school,0.2
372,modular house,0.2
372,modular house extension,nil
372,wooden house,0.2
372,plastic factory,0.2
372,company,0.2
372,leisure,0.2
372,school,0.2
373,modular house,0.2
373,modular house extension,nil
373,wooden house,0.2
373,plastic factory,0.2
373,company,0.2
373,leisure,0.2
373,school,0.2
374,modular house,0.2
374,modular house extension,nil
374,wooden house,0.2
374,plastic factory,0.2
374,company,0.2
374,leisure,0.2
374,school,0.2
375,modular house,0.2
375,modular house extension,nil
375,wooden house,0.2
375,plastic factory,0.2
375,company,0.2
375,leisure,0.2
375,school,0.2
376,modular house,0.2
376,modular house extension,nil
376,wooden house,0.2
376,plastic factory,0.2
376,company,0.2
376,leisure,0.2
376,school,0.2
377,modular house,0.2
377,modular house extension,nil
377,wooden house,0.2
377,plastic factory,0.2
377,company,0.2
377,leisure,0.2
377,school,0.2
378,modular house,0.2
378,modular house extension,nil
378,wooden house,0.2
378,plastic factory,0.2
378,company,0.2
378,leisure,0.2
378,school,0.2
379,modular house,0.2
379,modular house extension,nil
379,wooden house,0.2
379,plastic factory,0.2
379,company,0.2
379,leisure,0.2
379,school,0.2
380,modular house,0.2
380,modular house extension,nil
380,wooden house,0.2
380,plastic factory,0.2
380,company,0.2
380,leisure,0.2
380,school,0.2
381,modular house,0.2
381,modular house extension,nil
381,wooden house,0.2
381,plastic factory,0.2
381,company,0.2
381,leisure,0.2
381,school,0.2
382,modular house,0.2
382,modular house extension,nil
382,wooden house,0.2
382,plastic factory,0.2
382,company,0.2
382,leisure,0.2
382,school,0.2
383,modular house,0.2
383,modular house extension,nil
383,wooden house,0.2
383,plastic factory,0.2
383,company,0.2
383,leisure,0.2
383,school,0.2
384,modular house,0.2
384,modular house extension,nil
384,wooden house,0.2
384,plastic factory,0.2
384,company,0.2
384,leisure,0.2
384,school,0.2
385,modular house,0.2
385,modular house extension,nil
385,wooden house,0.2
385,plastic factory,0.2
385,company,0.2
385,leisure,0.2
385,school,0.2
386,modular house,0.2
386,modular house extension,nil
386,wooden house,0.2
386,plastic factory,0.2
386,company,0.2
386,leisure,0.2
386,school,0.2
387,modular house,0.2
387,modular house extension,nil
387,wooden house,0.2
387,plastic factory,0.2
387,company,0.2
387,leisure,0.2
387,school,0.2
388,modular house,0.2
388,modular house extension,nil
388,wooden house,0.2
388,plastic factory,0.2
388,company,0.2
388,leisure,0.2
388,school,0.2
389,modular house,0.2
389,modular house extension,nil
389,wooden house,0.2
389,plastic factory,0.2
389,company,0.2
389,leisure,0.2
389,school,0.2
390,modular house,0.2
390,modular house extension,nil
390,wooden house,0.2
390,plastic factory,0.2
390,company,0.2
390,leisure,0.2
390,school,0.2
391,modular house,0.2
391,modular house extension,nil
391,wooden house,0.2
391,plastic factory,0.2
391,company,0.2
391,leisure,0.2
391,school,0.2
392,modular house,0.2
392,modular house extension,nil
392,wooden house,0.2
392,plastic factory,0.2
392,company,0.2
392,leisure,0.2
392,school,0.2
393,modular house,0.2
393,modular house extension,nil
393,wooden house,0.2
393,plastic factory,0.2
393,company,0.2
393,leisure,0.2
393,school,0.2
394,modular house,0.2
394,modular house extension,nil
394,wooden house,0.2
394,plastic factory,0.2
394,company,0.2
394,leisure,0.2
394,school,0.2
395,modular house,0.2
395,modular house extension,nil
395,wooden house,0.2
395,plastic factory,0.2
395,company,0.2
395,leisure,0.2
395,school,0.2
396,modular house,0.2
396,modular house extension,nil
396,wooden house,0.2
396,plastic factory,0.2
