cycle,o,tick_production_Uo
39,wooden house,119.0
39,plastic factory,0.0
39,company,0.0
39,leisure,0.0
39,school,0.0
40,modular house,0.0
40,modular house extension,0.0
40,wooden house,167.0
40,plastic factory,0.0
40,company,0.0
40,leisure,0.0
40,school,0.0
41,modular house,0.0
41,modular house extension,0.0
41,wooden house,206.0
41,plastic factory,0.0
41,company,0.0
41,leisure,0.0
41,school,0.0
42,modular house,0.0
42,modular house extension,0.0
42,wooden house,237.0
42,plastic factory,0.0
42,company,0.0
42,leisure,0.0
42,school,0.0
43,modular house,0.0
43,modular house extension,0.0
43,wooden house,279.0
43,plastic factory,0.0
43,company,0.0
43,leisure,0.0
43,school,0.0
44,modular house,0.0
44,modular house extension,0.0
44,wooden house,312.0
44,plastic factory,0.0
44,company,0.0
44,leisure,0.0
44,school,0.0
45,modular house,0.0
45,modular house extension,0.0
45,wooden house,343.0
45,plastic factory,0.0
45,company,0.0
45,leisure,0.0
45,school,0.0
46,modular house,0.0
46,modular house extension,0.0
46,wooden house,335.0
46,plastic factory,0.0
46,company,0.0
46,leisure,0.0
46,school,0.0
47,modular house,0.0
47,modular house extension,0.0
47,wooden house,319.0
47,plastic factory,0.0
47,company,0.0
47,leisure,0.0
47,school,0.0
48,modular house,0.0
48,modular house extension,0.0
48,wooden house,301.0
48,plastic factory,0.0
48,company,0.0
48,leisure,0.0
48,school,0.0
49,modular house,0.0
49,modular house extension,0.0
49,wooden house,255.0
49,plastic factory,0.0
49,company,0.0
49,leisure,0.0
49,school,0.0
50,modular house,0.0
50,modular house extension,0.0
50,wooden house,224.0
50,plastic factory,0.0
50,company,0.0
50,leisure,0.0
50,school,0.0
51,modular house,0.0
51,modular house extension,0.0
51,wooden house,176.0
51,plastic factory,0.0
51,company,0.0
51,leisure,0.0
51,school,0.0
52,modular house,0.0
52,modular house extension,0.0
52,wooden house,137.0
52,plastic factory,0.0
52,company,0.0
52,leisure,0.0
52,school,0.0
53,modular house,0.0
53,modular house extension,0.0
53,wooden house,106.0
53,plastic factory,0.0
53,company,0.0
53,leisure,0.0
53,school,0.0
54,modular house,0.0
54,modular house extension,0.0
54,wooden house,64.0
54,plastic factory,0.0
54,company,0.0
54,leisure,0.0
54,school,0.0
55,modular house,0.0
55,modular house extension,0.0
55,wooden house,31.0
55,plastic factory,0.0
55,company,0.0
55,leisure,0.0
55,school,0.0
56,modular house,0.0
56,modular house extension,0.0
56,wooden house,0.0
56,plastic factory,0.0
56,company,0.0
56,leisure,0.0
56,school,0.0
57,modular house,0.0
57,modular house extension,0.0
57,wooden house,0.0
57,plastic factory,0.0
57,company,0.0
57,leisure,0.0
57,school,0.0
58,modular house,0.0
58,modular house extension,0.0
58,wooden house,0.0
58,plastic factory,0.0
58,company,0.0
58,leisure,0.0
58,school,0.0
59,modular house,0.0
59,modular house extension,0.0
59,wooden house,0.0
59,plastic factory,0.0
59,company,0.0
59,leisure,0.0
59,school,0.0
60,modular house,0.0
60,modular house extension,0.0
60,wooden house,2.0
60,plastic factory,0.0
60,company,0.0
60,leisure,0.0
60,school,0.0
61,modular house,0.0
61,modular house extension,0.0
61,wooden house,6.0
61,plastic factory,0.0
61,company,0.0
61,leisure,0.0
61,school,0.0
62,modular house,0.0
62,modular house extension,0.0
62,wooden house,10.0
62,plastic factory,0.0
62,company,0.0
