cycle,o,tick_production_Uo
10,modular house extension,0.0
10,wooden house,0.0
10,plastic factory,0.0
10,company,224.0
10,leisure,0.0
10,school,0.0
11,modular house,574.0
11,modular house extension,0.0
11,wooden house,0.0
11,plastic factory,0.0
11,company,152.0
11,leisure,2.0
11,school,0.0
12,modular house,81.0
12,modular house extension,0.0
12,wooden house,0.0
12,plastic factory,0.0
12,company,130.0
12,leisure,0.0
12,school,0.0
13,modular house,660.0
13,modular house extension,0.0
13,wooden house,138.0
13,plastic factory,0.0
13,company,185.0
13,leisure,0.0
13,school,0.0
14,modular house,293.0
14,modular house extension,0.0
14,wooden house,240.0
14,plastic factory,0.0
14,company,244.0
14,leisure,0.0
14,school,40.0
15,modular house,418.0
15,modular house extension,0.0
15,wooden house,358.0
15,plastic factory,0.0
15,company,296.0
15,leisure,0.0
15,school,86.0
16,modular house,497.0
16,modular house extension,0.0
16,wooden house,1462.0
16,plastic factory,0.0
16,company,237.0
16,leisure,0.0
16,school,127.0
17,modular house,8.0
17,modular house extension,0.0
17,wooden house,486.0
17,plastic factory,0.0
17,company,147.0
17,leisure,0.0
17,school,131.0
18,modular house,1024.0
18,modular house extension,0.0
18,wooden house,1955.0
18,plastic factory,0.0
18,company,67.0
18,leisure,0.0
18,school,140.0
19,modular house,58.0
19,modular house extension,0.0
19,wooden house,978.0
19,plastic factory,0.0
19,company,83.0
19,leisure,0.0
19,school,139.0
20,modular house,222.0
20,modular house extension,0.0
20,wooden house,977.0
20,plastic factory,0.0
20,company,219.0
20,leisure,0.0
20,school,146.0
21,modular house,851.0
21,modular house extension,0.0
21,wooden house,1468.0
21,plastic factory,0.0
21,company,323.0
21,leisure,0.0
21,school,149.0
22,modular house,17.0
22,modular house extension,0.0
22,wooden house,972.0
22,plastic factory,0.0
22,company,327.0
22,leisure,0.0
22,school,148.0
23,modular house,783.0
23,modular house extension,0.0
23,wooden house,969.0
23,plastic factory,0.0
23,company,157.0
23,leisure,0.0
23,school,149.0
24,modular house,23.0
24,modular house extension,0.0
24,wooden house,1805.0
24,plastic factory,0.0
24,company,62.0
24,leisure,0.0
24,school,149.0
25,modular house,279.0
25,modular house extension,0.0
25,wooden house,250.0
25,plastic factory,0.0
25,company,89.0
25,leisure,0.0
25,school,147.0
26,modular house,45.0
26,modular house extension,0.0
26,wooden house,959.0
26,plastic factory,0.0
26,company,234.0
26,leisure,0.0
26,school,112.0
27,modular house,211.0
27,modular house extension,0.0
27,wooden house,0.0
27,plastic factory,0.0
27,company,278.0
27,leisure,0.0
27,school,68.0
28,modular house,146.0
28,modular house extension,0.0
28,wooden house,564.0
28,plastic factory,0.0
28,company,247.0
28,leisure,0.0
28,school,28.0
29,modular house,491.0
29,modular house extension,3.0
29,wooden house,0.0
29,plastic factory,0.0
29,company,106.0
29,leisure,0.0
29,school,24.0
30,modular house,148.0
30,modular house extension,0.0
30,wooden house,0.0
30,plastic factory,0.0
30,company,148.0
30,leisure,17.0
30,school,16.0
31,modular house,42.0
31,modular house extension,0.0
31,wooden house,1.0
31,plastic factory,0.0
31,company,149.0
31,leisure,0.0
31,school,14.0
32,modular house,123.0
32,modular house extension,0.0
32,wooden house,0.0
32,plastic factory,0.0
32,company,280.0
32,leisure,0.0
32,school,9.0
33,modular house,418.0
33,modular house extension,0.0
33,wooden house,0.0
33,plastic factory,0.0
33,company,241.0
33,leisure,0.0
33,school,8.0
34,modular house,299.0
34,modular house extension,0.0
34,wooden house,31.0
34,plastic factory,0.0
34,company,275.0
34,leisure,0.0
34,school,10.0
35,modular house,289.0
35,modular house extension,0.0
35,wooden house,0.0
35,plastic factory,0.0
35,company,146.0
35,leisure,0.0
35,school,9.0
36,modular house,175.0
36,modular house extension,0.0
36,wooden house,165.0
36,plastic factory,0.0
36,company,141.0
36,leisure,0.0
36,school,10.0
37,modular house,292.0
37,modular house extension,0.0
37,wooden house,726.0
37,plastic factory,0.0
37,company,111.0
37,leisure,0.0
37,school,11.0
38,modular house,457.0
38,modular house extension,0.0
38,wooden house,378.0
38,plastic factory,0.0
38,company,152.0
38,leisure,0.0
38,school,12.0
39,modular house,29.0
39,modular house extension,0.0
39,wooden house,114.0
39,plastic factory,0.0
39,company,113.0
39,leisure,0.0
39,school,23.0
40,modular house,34.0
40,modular house extension,0.0
40,wooden house,304.0
40,plastic factory,0.0
40,company,80.0
40,leisure,0.0
40,school,82.0
41,modular house,116.0
41,modular house extension,0.0
41,wooden house,483.0
41,plastic factory,0.0
41,company,227.0
41,leisure,0.0
41,school,123.0
42,modular house,711.0
42,modular house extension,0.0
42,wooden house,972.0
42,plastic factory,0.0
42,company,321.0
42,leisure,0.0
42,school,125.0
43,modular house,300.0
43,modular house extension,109.0
43,wooden house,955.0
43,plastic factory,0.0
43,company,314.0
43,leisure,0.0
43,school,125.0
44,modular house,173.0
44,modular house extension,0.0
44,wooden house,1468.0
44,plastic factory,0.0
44,company,134.0
44,leisure,0.0
44,school,126.0
45,modular house,31.0
45,modular house extension,0.0
45,wooden house,1464.0
45,plastic factory,0.0
45,company,22.0
45,leisure,0.0
45,school,132.0
46,modular house,109.0
46,modular house extension,0.0
46,wooden house,964.0
46,plastic factory,0.0
46,company,41.0
46,leisure,0.0
46,school,133.0
47,modular house,93.0
47,modular house extension,0.0
47,wooden house,325.0
47,plastic factory,0.0
47,company,58.0
47,leisure,0.0
47,school,140.0
48,modular house,2.0
48,modular house extension,0.0
48,wooden house,125.0
48,plastic factory,0.0
48,company,67.0
48,leisure,0.0
48,school,140.0
49,modular house,223.0
49,modular house extension,0.0
49,wooden house,53.0
49,plastic factory,0.0
49,company,113.0
49,leisure,0.0
49,school,142.0
50,modular house,525.0
50,modular house extension,0.0
50,wooden house,1251.0
50,plastic factory,112.0
50,company,70.0
50,leisure,0.0
50,school,140.0
51,modular house,35.0
51,modular house extension,0.0
51,wooden house,745.0
51,plastic factory,176.0
51,company,17.0
51,leisure,0.0
51,school,128.0
52,modular house,107.0
52,modular house extension,0.0
52,wooden house,942.0
52,plastic factory,239.0
52,company,21.0
52,leisure,0.0
52,school,73.0
53,modular house,3.0
53,modular house extension,0.0
53,wooden house,9.0
53,plastic factory,412.0
53,company,79.0
53,leisure,0.0
53,school,35.0
54,modular house,238.0
54,modular house extension,0.0
54,wooden house,294.0
54,plastic factory,422.0
54,company,187.0
54,leisure,0.0
54,school,33.0
55,modular house,96.0
55,modular house extension,0.0
55,wooden house,0.0
55,plastic factory,429.0
55,company,237.0
55,leisure,4.0
55,school,33.0
56,modular house,153.0
56,modular house extension,0.0
56,wooden house,1.0
56,plastic factory,431.0
56,company,344.0
56,leisure,0.0
56,school,35.0
57,modular house,591.0
57,modular house extension,0.0
57,wooden house,0.0
57,plastic factory,431.0
57,company,237.0
57,leisure,0.0
57,school,29.0
58,modular house,171.0
58,modular house extension,0.0
58,wooden house,0.0
58,plastic factory,431.0
58,company,182.0
58,leisure,0.0
58,school,27.0
59,modular house,205.0
59,modular house extension,0.0
59,wooden house,2.0
59,plastic factory,431.0
59,company,19.0
59,leisure,0.0
59,school,17.0
60,modular house,142.0
60,modular house extension,0.0
60,wooden house,84.0
60,plastic factory,431.0
60,company,82.0
60,leisure,0.0
60,school,6.0
61,modular house,53.0
61,modular house extension,26.0
61,wooden house,36.0
61,plastic factory,431.0
61,company,100.0
61,leisure,0.0
61,school,7.0
62,modular house,357.0
62,modular house extension,9.0
62,wooden house,330.0
62,plastic factory,431.0
62,company,124.0
62,leisure,0.0
62,school,15.0
63,modular house,86.0
63,modular house extension,0.0
63,wooden house,6.0
63,plastic factory,432.0
63,company,203.0
63,leisure,0.0
63,school,21.0
64,modular house,54.0
64,modular house extension,0.0
64,wooden house,122.0
64,plastic factory,432.0
64,company,239.0
64,leisure,0.0
64,school,39.0
65,modular house,95.0
65,modular house extension,68.0
65,wooden house,111.0
65,plastic factory,432.0
65,company,230.0
65,leisure,0.0
65,school,100.0
66,modular house,102.0
66,modular house extension,0.0
66,wooden house,969.0
66,plastic factory,433.0
66,company,139.0
66,leisure,0.0
66,school,112.0
67,modular house,11.0
67,modular house extension,0.0
67,wooden house,1410.0
67,plastic factory,433.0
67,company,80.0
67,leisure,0.0
67,school,114.0
68,modular house,453.0
68,modular house extension,0.0
68,wooden house,1890.0
68,plastic factory,433.0
68,company,67.0
68,leisure,0.0
68,school,111.0
69,modular house,65.0
69,modular house extension,0.0
69,wooden house,1899.0
69,plastic factory,433.0
69,company,37.0
69,leisure,0.0
69,school,113.0
70,modular house,114.0
70,modular house extension,2.0
70,wooden house,1905.0
70,plastic factory,433.0
70,company,169.0
70,leisure,0.0
70,school,114.0
71,modular house,108.0
71,modular house extension,0.0
71,wooden house,437.0
71,plastic factory,433.0
71,company,222.0
71,leisure,0.0
71,school,116.0
72,modular house,129.0
72,modular house extension,0.0
72,wooden house,1809.0
72,plastic factory,433.0
72,company,316.0
72,leisure,0.0
72,school,114.0
73,modular house,156.0
73,modular house extension,0.0
73,wooden house,321.0
73,plastic factory,434.0
73,company,239.0
73,leisure,0.0
73,school,130.0
74,modular house,371.0
74,modular house extension,0.0
74,wooden house,855.0
74,plastic factory,432.0
74,company,194.0
74,leisure,0.0
74,school,123.0
75,modular house,121.0
75,modular house extension,0.0
75,wooden house,346.0
75,plastic factory,432.0
75,company,110.0
75,leisure,0.0
75,school,122.0
76,modular house,158.0
76,modular house extension,1.0
76,wooden house,383.0
76,plastic factory,432.0
76,company,112.0
76,leisure,0.0
76,school,109.0
77,modular house,117.0
77,modular house extension,0.0
77,wooden house,522.0
77,plastic factory,432.0
77,company,218.0
77,leisure,0.0
77,school,53.0
78,modular house,9.0
78,modular house extension,0.0
78,wooden house,0.0
78,plastic factory,432.0
78,company,248.0
78,leisure,0.0
78,school,40.0
79,modular house,504.0
79,modular house extension,0.0
79,wooden house,0.0
79,plastic factory,433.0
79,company,249.0
79,leisure,0.0
79,school,41.0
80,modular house,52.0
80,modular house extension,0.0
80,wooden house,0.0
80,plastic factory,433.0
80,company,170.0
80,leisure,0.0
80,school,43.0
81,modular house,139.0
81,modular house extension,0.0
81,wooden house,1.0
81,plastic factory,432.0
81,company,103.0
81,leisure,0.0
81,school,40.0
82,modular house,203.0
82,modular house extension,0.0
82,wooden house,0.0
82,plastic factory,431.0
82,company,72.0
82,leisure,0.0
82,school,38.0
83,modular house,21.0
83,modular house extension,0.0
83,wooden house,1.0
83,plastic factory,431.0
83,company,61.0
83,leisure,0.0
83,school,37.0
84,modular house,157.0
84,modular house extension,0.0
84,wooden house,3.0
84,plastic factory,431.0
84,company,122.0
84,leisure,0.0
84,school,40.0
0,modular house,nil
0,modular house extension,nil
0,wooden house,nil
0,plastic factory,nil
0,company,nil
0,leisure,nil
0,school,nil
1,modular house,nil
1,modular house extension,nil
1,wooden house,nil
1,plastic factory,nil
1,company,nil
1,leisure,nil
1,school,nil
2,modular house,0.0
2,modular house extension,0.0
2,wooden house,0.0
2,plastic factory,0.0
2,company,0.0
2,leisure,0.0
2,school,0.0
3,modular house,0.0
3,modular house extension,0.0
3,wooden house,0.0
3,plastic factory,0.0
3,company,0.0
3,leisure,0.0
3,school,0.0
4,modular house,0.0
4,modular house extension,0.0
4,wooden house,0.0
4,plastic factory,0.0
4,company,0.0
4,leisure,0.0
4,school,0.0
5,modular house,0.0
5,modular house extension,0.0
5,wooden house,0.0
5,plastic factory,0.0
5,company,119.0
5,leisure,0.0
5,school,0.0
6,modular house,664.0
6,modular house extension,0.0
6,wooden house,0.0
6,plastic factory,0.0
6,company,204.0
6,leisure,0.0
6,school,0.0
7,modular house,520.0
7,modular house extension,0.0
7,wooden house,0.0
7,plastic factory,0.0
7,company,265.0
7,leisure,0.0
7,school,0.0
8,modular house,364.0
8,modular house extension,0.0
8,wooden house,0.0
8,plastic factory,0.0
8,company,181.0
8,leisure,0.0
8,school,0.0
9,modular house,262.0
9,modular house extension,0.0
9,wooden house,0.0
9,plastic factory,0.0
9,company,127.0
9,leisure,0.0
9,school,0.0
10,modular house,207.0
10,modular house extension,0.0
10,wooden house,0.0
10,plastic factory,0.0
10,company,100.0
10,leisure,0.0
10,school,0.0
11,modular house,295.0
11,modular house extension,0.0
11,wooden house,0.0
11,plastic factory,0.0
11,company,90.0
11,leisure,0.0
11,school,0.0
12,modular house,370.0
12,modular house extension,0.0
12,wooden house,0.0
12,plastic factory,0.0
12,company,81.0
12,leisure,0.0
12,school,0.0
13,modular house,285.0
13,modular house extension,0.0
13,wooden house,629.0
13,plastic factory,0.0
13,company,71.0
13,leisure,0.0
13,school,0.0
14,modular house,318.0
14,modular house extension,0.0
14,wooden house,720.0
14,plastic factory,0.0
14,company,80.0
14,leisure,0.0
14,school,41.0
15,modular house,271.0
15,modular house extension,0.0
15,wooden house,793.0
15,plastic factory,0.0
15,company,95.0
15,leisure,0.0
15,school,74.0
16,modular house,270.0
16,modular house extension,0.0
16,wooden house,848.0
16,plastic factory,0.0
16,company,109.0
16,leisure,0.0
16,school,98.0
17,modular house,286.0
17,modular house extension,0.0
17,wooden house,886.0
17,plastic factory,0.0
17,company,102.0
17,leisure,0.0
17,school,114.0
18,modular house,270.0
18,modular house extension,0.0
18,wooden house,909.0
18,plastic factory,0.0
18,company,100.0
18,leisure,0.0
18,school,129.0
19,modular house,285.0
19,modular house extension,0.0
19,wooden house,926.0
19,plastic factory,0.0
19,company,103.0
19,leisure,0.0
19,school,143.0
20,modular house,261.0
20,modular house extension,0.0
20,wooden house,940.0
20,plastic factory,0.0
20,company,118.0
20,leisure,0.0
20,school,153.0
21,modular house,294.0
21,modular house extension,0.0
21,wooden house,952.0
21,plastic factory,0.0
21,company,127.0
21,leisure,0.0
21,school,155.0
22,modular house,324.0
22,modular house extension,0.0
22,wooden house,961.0
22,plastic factory,0.0
22,company,131.0
22,leisure,0.0
22,school,156.0
23,modular house,302.0
23,modular house extension,0.0
23,wooden house,967.0
23,plastic factory,0.0
23,company,134.0
23,leisure,0.0
23,school,157.0
24,modular house,289.0
24,modular house extension,0.0
24,wooden house,342.0
24,plastic factory,0.0
24,company,116.0
24,leisure,0.0
24,school,155.0
25,modular house,263.0
25,modular house extension,0.0
25,wooden house,43.0
25,plastic factory,0.0
25,company,107.0
25,leisure,0.0
25,school,159.0
26,modular house,320.0
26,modular house extension,0.0
26,wooden house,17.0
26,plastic factory,0.0
26,company,92.0
26,leisure,0.0
26,school,123.0
27,modular house,282.0
27,modular house extension,0.0
27,wooden house,4.0
27,plastic factory,0.0
27,company,92.0
27,leisure,0.0
27,school,85.0
28,modular house,319.0
28,modular house extension,0.0
28,wooden house,3.0
28,plastic factory,0.0
28,company,88.0
28,leisure,0.0
28,school,63.0
29,modular house,258.0
29,modular house extension,0.0
29,wooden house,0.0
29,plastic factory,0.0
29,company,98.0
29,leisure,0.0
29,school,48.0
30,modular house,295.0
30,modular house extension,0.0
30,wooden house,0.0
30,plastic factory,0.0
30,company,109.0
30,leisure,0.0
30,school,32.0
31,modular house,285.0
31,modular house extension,0.0
31,wooden house,0.0
31,plastic factory,0.0
31,company,118.0
31,leisure,0.0
31,school,20.0
32,modular house,326.0
32,modular house extension,0.0
32,wooden house,1.0
32,plastic factory,0.0
32,company,110.0
32,leisure,0.0
32,school,13.0
33,modular house,290.0
33,modular house extension,0.0
33,wooden house,0.0
33,plastic factory,0.0
33,company,111.0
33,leisure,0.0
33,school,12.0
34,modular house,276.0
34,modular house extension,0.0
34,wooden house,0.0
34,plastic factory,0.0
34,company,112.0
34,leisure,0.0
34,school,14.0
35,modular house,325.0
35,modular house extension,0.0
35,wooden house,0.0
35,plastic factory,0.0
35,company,108.0
35,leisure,0.0
35,school,12.0
36,modular house,276.0
36,modular house extension,0.0
36,wooden house,3.0
36,plastic factory,0.0
36,company,106.0
36,leisure,0.0
36,school,13.0
37,modular house,292.0
37,modular house extension,0.0
37,wooden house,15.0
37,plastic factory,0.0
37,company,106.0
37,leisure,0.0
37,school,11.0
38,modular house,283.0
38,modular house extension,0.0
38,wooden house,49.0
38,plastic factory,0.0
38,company,109.0
38,leisure,0.0
38,school,10.0
39,modular house,284.0
39,modular house extension,0.0
39,wooden house,108.0
39,plastic factory,0.0
39,company,98.0
39,leisure,0.0
39,school,10.0
40,modular house,296.0
40,modular house extension,0.0
40,wooden house,210.0
40,plastic factory,0.0
40,company,94.0
40,leisure,0.0
40,school,14.0
41,modular house,288.0
41,modular house extension,0.0
41,wooden house,329.0
41,plastic factory,0.0
41,company,96.0
41,leisure,0.0
41,school,19.0
42,modular house,315.0
42,modular house extension,0.0
42,wooden house,466.0
42,plastic factory,0.0
42,company,111.0
42,leisure,0.0
42,school,27.0
43,modular house,299.0
43,modular house extension,0.0
43,wooden house,579.0
43,plastic factory,0.0
43,company,105.0
43,leisure,0.0
43,school,36.0
44,modular house,321.0
44,modular house extension,0.0
44,wooden house,716.0
44,plastic factory,0.0
44,company,118.0
44,leisure,0.0
44,school,41.0
45,modular house,273.0
45,modular house extension,0.0
45,wooden house,825.0
45,plastic factory,0.0
45,company,122.0
45,leisure,0.0
45,school,46.0
46,modular house,269.0
46,modular house extension,0.0
46,wooden house,913.0
46,plastic factory,0.0
46,company,130.0
46,leisure,0.0
46,school,56.0
47,modular house,288.0
47,modular house extension,0.0
47,wooden house,944.0
47,plastic factory,0.0
47,company,113.0
47,leisure,0.0
47,school,73.0
48,modular house,292.0
48,modular house extension,0.0
48,wooden house,932.0
48,plastic factory,0.0
48,company,99.0
48,leisure,0.0
48,school,82.0
49,modular house,309.0
49,modular house extension,0.0
49,wooden house,894.0
49,plastic factory,0.0
49,company,103.0
49,leisure,0.0
49,school,102.0
50,modular house,306.0
50,modular house extension,0.0
50,wooden house,818.0
50,plastic factory,126.0
50,company,104.0
50,leisure,0.0
50,school,110.0
51,modular house,276.0
51,modular house extension,0.0
51,wooden house,700.0
51,plastic factory,212.0
51,company,98.0
51,leisure,0.0
51,school,119.0
52,modular house,274.0
52,modular house extension,0.0
52,wooden house,553.0
52,plastic factory,280.0
52,company,76.0
52,leisure,0.0
52,school,124.0
53,modular house,252.0
53,modular house extension,0.0
53,wooden house,398.0
53,plastic factory,323.0
53,company,30.0
53,leisure,0.0
53,school,124.0
54,modular house,153.0
54,modular house extension,0.0
54,wooden house,274.0
54,plastic factory,357.0
54,company,55.0
54,leisure,0.0
54,school,120.0
55,modular house,241.0
55,modular house extension,0.0
55,wooden house,145.0
55,plastic factory,378.0
55,company,70.0
55,leisure,0.0
55,school,116.0
56,modular house,302.0
56,modular house extension,0.0
56,wooden house,55.0
56,plastic factory,393.0
56,company,99.0
56,leisure,0.0
56,school,107.0
57,modular house,301.0
57,modular house extension,0.0
57,wooden house,12.0
57,plastic factory,400.0
57,company,127.0
57,leisure,0.0
57,school,103.0
58,modular house,377.0
58,modular house extension,0.0
58,wooden house,0.0
58,plastic factory,405.0
58,company,141.0
58,leisure,0.0
58,school,89.0
59,modular house,324.0
59,modular house extension,0.0
59,wooden house,0.0
59,plastic factory,411.0
59,company,159.0
59,leisure,0.0
59,school,72.0
60,modular house,282.0
60,modular house extension,0.0
60,wooden house,0.0
60,plastic factory,415.0
60,company,136.0
60,leisure,0.0
60,school,59.0
61,modular house,272.0
61,modular house extension,0.0
61,wooden house,0.0
61,plastic factory,417.0
61,company,129.0
61,leisure,0.0
61,school,38.0
62,modular house,281.0
62,modular house extension,0.0
62,wooden house,2.0
62,plastic factory,417.0
62,company,89.0
62,leisure,0.0
62,school,18.0
63,modular house,278.0
63,modular house extension,0.0
63,wooden house,5.0
63,plastic factory,417.0
63,company,80.0
63,leisure,0.0
63,school,17.0
64,modular house,290.0
64,modular house extension,0.0
64,wooden house,17.0
64,plastic factory,417.0
64,company,73.0
64,leisure,0.0
64,school,15.0
65,modular house,312.0
65,modular house extension,0.0
65,wooden house,34.0
65,plastic factory,418.0
65,company,90.0
65,leisure,0.0
65,school,14.0
66,modular house,287.0
66,modular house extension,0.0
66,wooden house,63.0
66,plastic factory,418.0
66,company,111.0
66,leisure,0.0
66,school,17.0
67,modular house,261.0
67,modular house extension,0.0
67,wooden house,123.0
67,plastic factory,418.0
67,company,110.0
67,leisure,0.0
67,school,17.0
68,modular house,297.0
68,modular house extension,0.0
68,wooden house,188.0
68,plastic factory,417.0
68,company,97.0
68,leisure,0.0
68,school,18.0
69,modular house,297.0
69,modular house extension,0.0
69,wooden house,277.0
69,plastic factory,419.0
69,company,103.0
69,leisure,0.0
69,school,18.0
70,modular house,312.0
70,modular house extension,0.0
70,wooden house,357.0
70,plastic factory,419.0
70,company,102.0
70,leisure,0.0
70,school,18.0
71,modular house,303.0
71,modular house extension,0.0
71,wooden house,475.0
71,plastic factory,420.0
71,company,134.0
71,leisure,0.0
71,school,22.0
72,modular house,266.0
72,modular house extension,3.0
72,wooden house,600.0
72,plastic factory,419.0
72,company,114.0
72,leisure,0.0
72,school,29.0
73,modular house,297.0
73,modular house extension,0.0
73,wooden house,707.0
73,plastic factory,419.0
73,company,118.0
73,leisure,0.0
73,school,31.0
74,modular house,300.0
74,modular house extension,0.0
74,wooden house,790.0
74,plastic factory,419.0
74,company,100.0
74,leisure,0.0
74,school,40.0
75,modular house,273.0
75,modular house extension,0.0
75,wooden house,849.0
75,plastic factory,418.0
75,company,101.0
75,leisure,0.0
75,school,45.0
76,modular house,280.0
76,modular house extension,0.0
76,wooden house,863.0
76,plastic factory,418.0
76,company,103.0
76,leisure,0.0
76,school,53.0
77,modular house,299.0
77,modular house extension,0.0
77,wooden house,852.0
77,plastic factory,418.0
77,company,100.0
77,leisure,0.0
77,school,62.0
78,modular house,262.0
78,modular house extension,0.0
78,wooden house,786.0
78,plastic factory,417.0
78,company,97.0
78,leisure,0.0
78,school,68.0
79,modular house,291.0
79,modular house extension,0.0
79,wooden house,702.0
79,plastic factory,416.0
79,company,97.0
79,leisure,0.0
79,school,74.0
80,modular house,283.0
80,modular house extension,0.0
80,wooden house,604.0
80,plastic factory,413.0
80,company,102.0
80,leisure,0.0
80,school,80.0
81,modular house,279.0
81,modular house extension,0.0
81,wooden house,518.0
81,plastic factory,414.0
81,company,118.0
81,leisure,0.0
81,school,92.0
82,modular house,307.0
82,modular house extension,0.0
82,wooden house,390.0
82,plastic factory,414.0
82,company,121.0
82,leisure,0.0
82,school,100.0
83,modular house,317.0
83,modular house extension,0.0
83,wooden house,265.0
83,plastic factory,415.0
83,company,110.0
83,leisure,0.0
83,school,103.0
84,modular house,281.0
84,modular house extension,0.0
84,wooden house,165.0
84,plastic factory,414.0
84,company,99.0
84,leisure,0.0
84,school,101.0
85,modular house,304.0
85,modular house extension,0.0
85,wooden house,96.0
85,plastic factory,414.0
85,company,100.0
85,leisure,0.0
85,school,106.0
86,modular house,291.0
86,modular house extension,0.0
86,wooden house,43.0
86,plastic factory,415.0
86,company,102.0
86,leisure,0.0
86,school,100.0
87,modular house,285.0
87,modular house extension,0.0
87,wooden house,14.0
87,plastic factory,414.0
87,company,99.0
87,leisure,0.0
87,school,101.0
88,modular house,291.0
88,modular house extension,0.0
88,wooden house,7.0
88,plastic factory,414.0
88,company,101.0
88,leisure,0.0
88,school,91.0
89,modular house,310.0
89,modular house extension,0.0
89,wooden house,3.0
89,plastic factory,415.0
89,company,99.0
89,leisure,0.0
89,school,83.0
90,modular house,280.0
90,modular house extension,0.0
90,wooden house,4.0
90,plastic factory,415.0
90,company,109.0
90,leisure,0.0
90,school,77.0
91,modular house,254.0
91,modular house extension,0.0
91,wooden house,10.0
91,plastic factory,415.0
91,company,120.0
91,leisure,0.0
91,school,70.0
92,modular house,310.0
92,modular house extension,0.0
92,wooden house,19.0
92,plastic factory,417.0
92,company,120.0
92,leisure,0.0
92,school,63.0
93,modular house,311.0
93,modular house extension,0.0
93,wooden house,48.0
93,plastic factory,416.0
93,company,111.0
93,leisure,0.0
93,school,51.0
94,modular house,304.0
94,modular house extension,0.0
94,wooden house,79.0
94,plastic factory,416.0
94,company,94.0
94,leisure,0.0
94,school,44.0
95,modular house,280.0
95,modular house extension,0.0
95,wooden house,123.0
95,plastic factory,416.0
95,company,104.0
95,leisure,0.0
95,school,40.0
96,modular house,290.0
96,modular house extension,0.0
96,wooden house,182.0
96,plastic factory,417.0
96,company,102.0
96,leisure,0.0
96,school,36.0
97,modular house,266.0
97,modular house extension,0.0
97,wooden house,253.0
97,plastic factory,358.0
97,company,109.0
97,leisure,0.0
97,school,32.0
98,modular house,284.0
98,modular house extension,0.0
98,wooden house,346.0
98,plastic factory,40.0
98,company,104.0
98,leisure,0.0
98,school,31.0
99,modular house,301.0
99,modular house extension,0.0
99,wooden house,447.0
99,plastic factory,40.0
99,company,101.0
99,leisure,0.0
99,school,29.0
100,modular house,284.0
100,modular house extension,3.0
100,wooden house,529.0
100,plastic factory,41.0
100,company,102.0
100,leisure,0.0
100,school,30.0
101,modular house,292.0
101,modular house extension,3.0
101,wooden house,623.0
101,plastic factory,40.0
101,company,103.0
101,leisure,0.0
101,school,29.0
102,modular house,309.0
102,modular house extension,4.0
102,wooden house,688.0
102,plastic factory,40.0
102,company,114.0
102,leisure,0.0
102,school,31.0
103,modular house,304.0
103,modular house extension,0.0
103,wooden house,746.0
103,plastic factory,41.0
103,company,105.0
103,leisure,0.0
103,school,29.0
104,modular house,285.0
104,modular house extension,0.0
104,wooden house,775.0
104,plastic factory,41.0
104,company,99.0
104,leisure,0.0
104,school,37.0
105,modular house,304.0
105,modular house extension,0.0
105,wooden house,777.0
105,plastic factory,34.0
105,company,99.0
105,leisure,0.0
105,school,36.0
106,modular house,303.0
106,modular house extension,0.0
106,wooden house,757.0
106,plastic factory,29.0
106,company,106.0
106,leisure,0.0
106,school,47.0
107,modular house,307.0
107,modular house extension,0.0
107,wooden house,710.0
107,plastic factory,22.0
107,company,110.0
107,leisure,0.0
107,school,53.0
108,modular house,285.0
108,modular house extension,0.0
108,wooden house,638.0
108,plastic factory,18.0
108,company,111.0
108,leisure,0.0
108,school,56.0
109,modular house,271.0
109,modular house extension,0.0
109,wooden house,540.0
109,plastic factory,16.0
109,company,109.0
109,leisure,0.0
109,school,67.0
110,modular house,275.0
110,modular house extension,0.0
110,wooden house,433.0
110,plastic factory,16.0
110,company,106.0
110,leisure,0.0
110,school,72.0
111,modular house,258.0
111,modular house extension,0.0
111,wooden house,348.0
111,plastic factory,18.0
111,company,100.0
111,leisure,0.0
111,school,76.0
112,modular house,307.0
112,modular house extension,0.0
112,wooden house,259.0
112,plastic factory,18.0
112,company,87.0
112,leisure,0.0
112,school,79.0
113,modular house,298.0
113,modular house extension,0.0
113,wooden house,178.0
113,plastic factory,16.0
113,company,77.0
113,leisure,0.0
113,school,83.0
114,modular house,305.0
114,modular house extension,0.0
114,wooden house,117.0
114,plastic factory,17.0
114,company,81.0
114,leisure,0.0
114,school,86.0
115,modular house,259.0
115,modular house extension,0.0
115,wooden house,68.0
115,plastic factory,17.0
115,company,95.0
115,leisure,0.0
115,school,85.0
116,modular house,297.0
116,modular house extension,0.0
116,wooden house,38.0
116,plastic factory,18.0
116,company,121.0
116,leisure,0.0
116,school,85.0
117,modular house,300.0
117,modular house extension,0.0
117,wooden house,22.0
117,plastic factory,16.0
117,company,130.0
117,leisure,0.0
117,school,88.0
118,modular house,283.0
118,modular house extension,0.0
118,wooden house,18.0
118,plastic factory,17.0
118,company,122.0
118,leisure,0.0
118,school,81.0
119,modular house,283.0
119,modular house extension,0.0
119,wooden house,21.0
119,plastic factory,17.0
119,company,107.0
119,leisure,0.0
119,school,82.0
120,modular house,326.0
120,modular house extension,0.0
120,wooden house,25.0
120,plastic factory,17.0
120,company,95.0
120,leisure,0.0
120,school,80.0
121,modular house,288.0
121,modular house extension,0.0
121,wooden house,46.0
121,plastic factory,17.0
121,company,100.0
121,leisure,0.0
121,school,70.0
