cycle,i,tick_resources_used_Ui
58,m3_wood,0.0
58,kg_cotton,0.0
58,m² land,0.0
58,kWh energy,175000.0
59,m3_wood,0.0
59,kg_cotton,0.0
59,m² land,0.0
59,kWh energy,210000.0
60,m3_wood,0.0
60,kg_cotton,0.0
60,m² land,0.0
60,kWh energy,244000.0
61,m3_wood,0.0
61,kg_cotton,0.0
61,m² land,0.0
61,kWh energy,264000.0
62,m3_wood,0.0
62,kg_cotton,0.0
62,m² land,0.0
62,kWh energy,289000.0
63,m3_wood,0.0
63,kg_cotton,0.0
63,m² land,0.0
63,kWh energy,295000.0
64,m3_wood,0.0
64,kg_cotton,0.0
64,m² land,0.0
64,kWh energy,292000.0
65,m3_wood,0.0
65,kg_cotton,0.0
65,m² land,0.0
65,kWh energy,280000.0
66,m3_wood,0.0
66,kg_cotton,0.0
66,m² land,0.0
66,kWh energy,268000.0
67,m3_wood,0.0
67,kg_cotton,0.0
67,m² land,0.0
67,kWh energy,241000.0
68,m3_wood,0.0
68,kg_cotton,0.0
68,m² land,0.0
68,kWh energy,205000.0
69,m3_wood,0.0
69,kg_cotton,0.0
69,m² land,0.0
69,kWh energy,168000.0
70,m3_wood,0.0
70,kg_cotton,0.0
70,m² land,0.0
70,kWh energy,133000.0
71,m3_wood,0.0
71,kg_cotton,0.0
71,m² land,0.0
71,kWh energy,97000.0
72,m3_wood,0.0
72,kg_cotton,0.0
72,m² land,0.0
72,kWh energy,74000.0
73,m3_wood,0.0
73,kg_cotton,0.0
73,m² land,0.0
73,kWh energy,45000.0
74,m3_wood,0.0
74,kg_cotton,0.0
74,m² land,0.0
74,kWh energy,26000.0
75,m3_wood,0.0
75,kg_cotton,0.0
75,m² land,0.0
75,kWh energy,13000.0
76,m3_wood,0.0
76,kg_cotton,0.0
76,m² land,0.0
76,kWh energy,9000.0
77,m3_wood,0.0
77,kg_cotton,0.0
77,m² land,0.0
77,kWh energy,7000.0
78,m3_wood,0.0
78,kg_cotton,0.0
78,m² land,0.0
78,kWh energy,11000.0
79,m3_wood,0.0
79,kg_cotton,0.0
79,m² land,0.0
79,kWh energy,15000.0
80,m3_wood,0.0
80,kg_cotton,0.0
80,m² land,0.0
80,kWh energy,22000.0
81,m3_wood,0.0
81,kg_cotton,0.0
81,m² land,0.0
81,kWh energy,35000.0
82,m3_wood,0.0
82,kg_cotton,0.0
82,m² land,0.0
82,kWh energy,48000.0
83,m3_wood,0.0
83,kg_cotton,0.0
83,m² land,0.0
83,kWh energy,65000.0
84,m3_wood,0.0
84,kg_cotton,0.0
84,m² land,0.0
84,kWh energy,94000.0
85,m3_wood,0.0
85,kg_cotton,0.0
85,m² land,0.0
85,kWh energy,124000.0
86,m3_wood,0.0
86,kg_cotton,0.0
86,m² land,0.0
86,kWh energy,151000.0
87,m3_wood,0.0
87,kg_cotton,0.0
87,m² land,0.0
87,kWh energy,183000.0
88,m3_wood,0.0
88,kg_cotton,0.0
88,m² land,0.0
88,kWh energy,202000.0
89,m3_wood,0.0
89,kg_cotton,0.0
89,m² land,0.0
89,kWh energy,228000.0
90,m3_wood,0.0
90,kg_cotton,0.0
90,m² land,0.0
90,kWh energy,244000.0
91,m3_wood,0.0
91,kg_cotton,0.0
91,m² land,0.0
91,kWh energy,261000.0
92,m3_wood,0.0
92,kg_cotton,0.0
92,m² land,0.0
92,kWh energy,266000.0
93,m3_wood,0.0
93,kg_cotton,0.0
93,m² land,0.0
93,kWh energy,270000.0
94,m3_wood,0.0
94,kg_cotton,0.0
94,m² land,0.0
94,kWh energy,262000.0
0,m3_wood,nil
0,kg_cotton,nil
0,m² land,nil
0,kWh energy,nil
1,m3_wood,nil
1,kg_cotton,nil
1,m² land,nil
1,kWh energy,nil
2,m3_wood,642096.0
2,kg_cotton,0.0
2,m² land,288120.0
2,kWh energy,1029000.0
3,m3_wood,642096.0
3,kg_cotton,0.0
3,m² land,288120.0
3,kWh energy,1029000.0
4,m3_wood,642096.0
4,kg_cotton,0.0
4,m² land,288120.0
4,kWh energy,1029000.0
5,m3_wood,642096.0
5,kg_cotton,0.0
5,m² land,288120.0
5,kWh energy,1029000.0
6,m3_wood,642096.0
6,kg_cotton,0.0
6,m² land,288120.0
6,kWh energy,1029000.0
7,m3_wood,642096.0
7,kg_cotton,0.0
7,m² land,288120.0
7,kWh energy,1029000.0
8,m3_wood,642096.0
8,kg_cotton,0.0
8,m² land,288120.0
8,kWh energy,1029000.0
9,m3_wood,642096.0
9,kg_cotton,0.0
9,m² land,288120.0
9,kWh energy,1029000.0
10,m3_wood,642096.0
10,kg_cotton,0.0
10,m² land,288120.0
10,kWh energy,1029000.0
11,m3_wood,642096.0
11,kg_cotton,0.0
11,m² land,288120.0
11,kWh energy,1029000.0
12,m3_wood,0.0
12,kg_cotton,0.0
12,m² land,0.0
12,kWh energy,0.0
13,m3_wood,0.0
13,kg_cotton,0.0
13,m² land,0.0
13,kWh energy,0.0
14,m3_wood,0.0
14,kg_cotton,0.0
14,m² land,0.0
14,kWh energy,0.0
15,m3_wood,0.0
15,kg_cotton,0.0
15,m² land,0.0
15,kWh energy,0.0
16,m3_wood,0.0
16,kg_cotton,0.0
16,m² land,0.0
16,kWh energy,0.0
17,m3_wood,0.0
17,kg_cotton,0.0
17,m² land,0.0
17,kWh energy,0.0
18,m3_wood,0.0
18,kg_cotton,0.0
18,m² land,0.0
18,kWh energy,0.0
19,m3_wood,0.0
19,kg_cotton,0.0
19,m² land,0.0
19,kWh energy,0.0
20,m3_wood,0.0
20,kg_cotton,0.0
20,m² land,0.0
20,kWh energy,0.0
21,m3_wood,0.0
21,kg_cotton,0.0
21,m² land,0.0
21,kWh energy,0.0
22,m3_wood,0.0
22,kg_cotton,0.0
22,m² land,0.0
22,kWh energy,0.0
23,m3_wood,0.0
23,kg_cotton,0.0
23,m² land,0.0
23,kWh energy,0.0
24,m3_wood,0.0
24,kg_cotton,0.0
24,m² land,0.0
24,kWh energy,0.0
25,m3_wood,0.0
25,kg_cotton,0.0
25,m² land,0.0
25,kWh energy,3000.0
26,m3_wood,0.0
26,kg_cotton,0.0
26,m² land,0.0
26,kWh energy,30000.0
27,m3_wood,0.0
27,kg_cotton,0.0
27,m² land,0.0
27,kWh energy,87000.0
28,m3_wood,0.0
28,kg_cotton,0.0
28,m² land,0.0
28,kWh energy,200000.0
29,m3_wood,0.0
29,kg_cotton,0.0
29,m² land,0.0
29,kWh energy,356000.0
30,m3_wood,0.0
30,kg_cotton,0.0
30,m² land,0.0
30,kWh energy,527000.0
31,m3_wood,0.0
31,kg_cotton,0.0
31,m² land,0.0
31,kWh energy,691000.0
32,m3_wood,0.0
32,kg_cotton,0.0
32,m² land,0.0
32,kWh energy,833000.0
33,m3_wood,0.0
33,kg_cotton,0.0
33,m² land,0.0
33,kWh energy,939000.0
34,m3_wood,0.0
34,kg_cotton,0.0
34,m² land,0.0
34,kWh energy,1029000.0
35,m3_wood,0.0
35,kg_cotton,0.0
35,m² land,0.0
35,kWh energy,1029000.0
36,m3_wood,0.0
36,kg_cotton,0.0
36,m² land,0.0
36,kWh energy,1026000.0
37,m3_wood,0.0
37,kg_cotton,0.0
37,m² land,0.0
37,kWh energy,998000.0
38,m3_wood,0.0
38,kg_cotton,0.0
38,m² land,0.0
38,kWh energy,928000.0
39,m3_wood,0.0
39,kg_cotton,0.0
39,m² land,0.0
39,kWh energy,783000.0
40,m3_wood,0.0
40,kg_cotton,0.0
40,m² land,0.0
40,kWh energy,581000.0
41,m3_wood,0.0
41,kg_cotton,0.0
41,m² land,0.0
41,kWh energy,378000.0
42,m3_wood,0.0
42,kg_cotton,0.0
42,m² land,0.0
42,kWh energy,190000.0
43,m3_wood,0.0
43,kg_cotton,0.0
43,m² land,0.0
43,kWh energy,75000.0
44,m3_wood,0.0
44,kg_cotton,0.0
44,m² land,0.0
44,kWh energy,14000.0
45,m3_wood,0.0
45,kg_cotton,0.0
45,m² land,0.0
45,kWh energy,0.0
46,m3_wood,0.0
46,kg_cotton,0.0
46,m² land,0.0
46,kWh energy,0.0
47,m3_wood,0.0
47,kg_cotton,0.0
47,m² land,0.0
47,kWh energy,0.0
48,m3_wood,0.0
48,kg_cotton,0.0
48,m² land,0.0
48,kWh energy,0.0
49,m3_wood,0.0
49,kg_cotton,0.0
49,m² land,0.0
49,kWh energy,0.0
50,m3_wood,0.0
50,kg_cotton,0.0
50,m² land,0.0
50,kWh energy,0.0
51,m3_wood,0.0
51,kg_cotton,0.0
51,m² land,0.0
51,kWh energy,1000.0
52,m3_wood,0.0
52,kg_cotton,0.0
52,m² land,0.0
52,kWh energy,3000.0
53,m3_wood,0.0
53,kg_cotton,0.0
53,m² land,0.0
53,kWh energy,18000.0
54,m3_wood,0.0
54,kg_cotton,0.0
54,m² land,0.0
54,kWh energy,45000.0
55,m3_wood,0.0
55,kg_cotton,0.0
55,m² land,0.0
55,kWh energy,96000.0
56,m3_wood,0.0
56,kg_cotton,0.0
56,m² land,0.0
56,kWh energy,173000.0
57,m3_wood,0.0
57,kg_cotton,0.0
57,m² land,0.0
57,kWh energy,291000.0
58,m3_wood,0.0
58,kg_cotton,0.0
58,m² land,0.0
58,kWh energy,407000.0
59,m3_wood,0.0
59,kg_cotton,0.0
59,m² land,0.0
59,kWh energy,535000.0
60,m3_wood,0.0
60,kg_cotton,0.0
60,m² land,0.0
60,kWh energy,671000.0
61,m3_wood,0.0
61,kg_cotton,0.0
61,m² land,0.0
61,kWh energy,808000.0
62,m3_wood,0.0
62,kg_cotton,0.0
62,m² land,0.0
62,kWh energy,899000.0
63,m3_wood,0.0
63,kg_cotton,0.0
63,m² land,0.0
63,kWh energy,962000.0
64,m3_wood,0.0
64,kg_cotton,0.0
64,m² land,0.0
64,kWh energy,986000.0
65,m3_wood,0.0
65,kg_cotton,0.0
65,m² land,0.0
65,kWh energy,964000.0
66,m3_wood,0.0
66,kg_cotton,0.0
66,m² land,0.0
66,kWh energy,906000.0
67,m3_wood,0.0
67,kg_cotton,0.0
67,m² land,0.0
67,kWh energy,807000.0
68,m3_wood,0.0
68,kg_cotton,0.0
68,m² land,0.0
68,kWh energy,673000.0
69,m3_wood,0.0
69,kg_cotton,0.0
69,m² land,0.0
69,kWh energy,532000.0
70,m3_wood,0.0
70,kg_cotton,0.0
70,m² land,0.0
70,kWh energy,370000.0
71,m3_wood,0.0
71,kg_cotton,0.0
71,m² land,0.0
71,kWh energy,232000.0
72,m3_wood,0.0
72,kg_cotton,0.0
72,m² land,0.0
72,kWh energy,124000.0
73,m3_wood,0.0
73,kg_cotton,0.0
73,m² land,0.0
73,kWh energy,61000.0
74,m3_wood,0.0
74,kg_cotton,0.0
74,m² land,0.0
74,kWh energy,17000.0
75,m3_wood,0.0
75,kg_cotton,0.0
75,m² land,0.0
75,kWh energy,5000.0
76,m3_wood,0.0
76,kg_cotton,0.0
76,m² land,0.0
76,kWh energy,2000.0
77,m3_wood,0.0
77,kg_cotton,0.0
77,m² land,0.0
77,kWh energy,0.0
78,m3_wood,0.0
78,kg_cotton,0.0
78,m² land,0.0
78,kWh energy,0.0
79,m3_wood,0.0
79,kg_cotton,0.0
79,m² land,0.0
79,kWh energy,3000.0
80,m3_wood,0.0
80,kg_cotton,0.0
80,m² land,0.0
80,kWh energy,4000.0
81,m3_wood,0.0
81,kg_cotton,0.0
81,m² land,0.0
81,kWh energy,13000.0
82,m3_wood,0.0
82,kg_cotton,0.0
82,m² land,0.0
82,kWh energy,37000.0
83,m3_wood,0.0
83,kg_cotton,0.0
83,m² land,0.0
83,kWh energy,87000.0
84,m3_wood,0.0
84,kg_cotton,0.0
84,m² land,0.0
84,kWh energy,143000.0
85,m3_wood,0.0
85,kg_cotton,0.0
85,m² land,0.0
85,kWh energy,244000.0
86,m3_wood,0.0
86,kg_cotton,0.0
86,m² land,0.0
86,kWh energy,350000.0
87,m3_wood,0.0
87,kg_cotton,0.0
87,m² land,0.0
87,kWh energy,480000.0
88,m3_wood,0.0
88,kg_cotton,0.0
88,m² land,0.0
88,kWh energy,591000.0
89,m3_wood,0.0
89,kg_cotton,0.0
89,m² land,0.0
89,kWh energy,695000.0
90,m3_wood,0.0
90,kg_cotton,0.0
90,m² land,0.0
90,kWh energy,791000.0
91,m3_wood,0.0
91,kg_cotton,0.0
91,m² land,0.0
91,kWh energy,870000.0
92,m3_wood,0.0
92,kg_cotton,0.0
92,m² land,0.0
92,kWh energy,929000.0
93,m3_wood,0.0
93,kg_cotton,0.0
93,m² land,0.0
93,kWh energy,953000.0
94,m3_wood,0.0
94,kg_cotton,0.0
94,m² land,0.0
94,kWh energy,908000.0
95,m3_wood,0.0
95,kg_cotton,0.0
95,m² land,0.0
95,kWh energy,840000.0
96,m3_wood,0.0
96,kg_cotton,0.0
96,m² land,0.0
96,kWh energy,722000.0
97,m3_wood,0.0
97,kg_cotton,0.0
97,m² land,0.0
97,kWh energy,596000.0
98,m3_wood,0.0
98,kg_cotton,0.0
