Age,M_rate,F_rate
0,0.011246078139755,0.010151326399737
1,0.011563507250732,0.010389695933002
2,0.011880394673806,0.010642350902188
3,0.012202603383924,0.011065534526942
4,0.01242813673541,0.011152621891528
5,0.012748879701791,0.011371147220921
6,0.012829145103372,0.011561340765267
7,0.013214380794169,0.011877861794205
8,0.013103780870037,0.011710381495256
9,0.01322072172903,0.011801085047596
10,0.013050217495659,0.011703657179185
11,0.013243504484937,0.011903623396221
12,0.0129909823303,0.01161050298721
13,0.012940732811327,0.011571173209655
14,0.012899054706814,0.011565076496417
15,0.013051428327442,0.011630018446742
16,0.013302484738342,0.011790087055088
17,0.013534295296699,0.011894926614102
18,0.012700988118395,0.011230145784368
19,0.012464238640924,0.011132030541425
20,0.01199421286136,0.010744739821567
21,0.01196515289858,0.010839149219208
22,0.011743443226408,0.01072130931579
23,0.011260735577122,0.010456132175787
24,0.011188340582127,0.010435032766247
25,0.011595307517019,0.010900325552533
26,0.011740957834854,0.011087679941204
27,0.0119655989945,0.011357011214247
28,0.011932683488413,0.0115789136446
29,0.012126225389645,0.011801174705143
30,0.012126798941542,0.011914442073633
31,0.012334297272267,0.012168800536224
32,0.012312151796245,0.012154544986153
33,0.012245970280134,0.012053530815837
34,0.012098216938676,0.011912170749094
35,0.012917472095505,0.012639472775366
36,0.013088103784853,0.012775064873213
37,0.013266510288804,0.01295166035617
38,0.012592076985959,0.012221937576112
39,0.012391620597969,0.011924095202927
40,0.012484504141284,0.011955116714402
41,0.01215241759294,0.0116579318299
42,0.012575826348879,0.011963903154069
43,0.013250291515718,0.012597064755343
44,0.01390876095743,0.013302878856037
45,0.014267358349012,0.013554577478048
46,0.014220454549438,0.013478906507859
47,0.013875781723355,0.013231063160395
48,0.013646106052614,0.013078794758692
49,0.013414072446296,0.012952138529757
50,0.013399892968843,0.012886150574711
51,0.013687115013247,0.013207303910277
52,0.0136823672781,0.01325007056049
53,0.013758044264505,0.013437723807653
54,0.013522123250886,0.01326023174922
55,0.013051810695373,0.012821597140426
56,0.013049771399739,0.012872761714267
57,0.012904280401875,0.012841202257505
58,0.012819904545032,0.012827006479133
59,0.012452831330973,0.012593089937399
60,0.012353192620873,0.012533467668233
61,0.012149103737535,0.012474263800957
62,0.011966937282259,0.012402418219466
63,0.01191037869242,0.012313268731285
64,0.011648647843437,0.012081533856543
65,0.011760713511306,0.01227994600942
66,0.011449657199184,0.011954010937982
67,0.01183578508182,0.012344439672006
68,0.011553852460466,0.012144832085161
69,0.011484197768979,0.01207448079613
70,0.011170209969384,0.011818299296738
71,0.010400949419574,0.011182597398282
72,0.007681994788006,0.008427480731696
73,0.007462547459428,0.008218907390089
74,0.007168761432204,0.007989802470077
75,0.006549484703451,0.007352695936708
76,0.005707733566663,0.006577486894159
77,0.005779395689789,0.006845981363424
78,0.005880882511558,0.007212112902044
79,0.005601817649689,0.007015792758611
80,0.005304813359043,0.006868545179574
81,0.005081478623163,0.006801780192448
82,0.00465408686794,0.006558330064818
83,0.004455956551532,0.006523004991056
84,0.004000651937323,0.006087657825675
85,0.003777731433368,0.006054663848152
86,0.003333642945144,0.005622036295049
87,0.00295184856573,0.005298820835888
88,0.002413219606489,0.004561686365227
89,0.00204726163223,0.004161455072663
90,0.001690544216311,0.003607849601974
91,0.001361707795383,0.00318616026968
92,0.001093859059499,0.002708703942768
93,0.000825978459621,0.002221295628071
94,0.000624151919877,0.001823425317594
95,0.000448390127451,0.001457981153505
96,0.000338013251279,0.001147586723654
97,0.000224736751628,0.000853988141056
98,9.09398396635672E-05,0.000373274256581
99,5.05681589159359E-05,0.000230748641718
100,2.9251146745324E-05,0.000144049793172
101,1.61550450979077E-05,8.60114740143139E-05
102,1.13754459565149E-05,6.48224069273964E-05
103,1.20127258420339E-05,6.20729088004621E-05
104,6.78703078077779E-06,3.71182247136129E-05
105,1.34466055844518E-05,5.18220625228701E-05
